,NO,EN
45,De stopper ved en matbutikk og går inn.,They stop at a grocery store and enter.
46,Der kjøper Teresa en stor pizza og fire flasker mineralvann.,"There, Teresa buys a large pizza and four bottles of mineral water."
47,Så går de tilbake til bilen.,Then they go back to the car.
48,Bianca: Å nei. Det står en parkeringsvakt ved bilen min.,Bianca: Oh no.There is a parking guard at my car.
49,"Parkeringsvakten: Unnskyld, men er denne bilen din?","Parking Guard: Excuse me, but is this car?"
50,Bianca: Ja. Er det noe galt?,Bianca: Yes.Is there something wrong?
51,Parkeringsvakten: Du kan ikke parkere her. Ser du ikke skiltet?,The parking guard: You can't park here.Don't see the sign?
52,Bianca: Skiltet? Hvor da?,Bianca: The sign?Where then?
53,"Parkeringsvakten: Der borte. Parkering forbudt, står det.","The parking guard: over there.Parking prohibited, it says."
54,"Bianca: Ja, nå ser jeg det.","Bianca: Yes, now I see it."
55,Parkeringsvakten: Jeg må dessverre gi deg en bot.,"The parking guard: Unfortunately, I have to give you a fine."
56,"Bianca: Vær så snill, ikke gjør det. Jeg skal kjøre med én gang.",Bianca: Please don't.I'm going to drive right away.
57,"Parkeringsvakten: Beklager, men sånn er reglene.","The parking guard: Sorry, but that's the way the rules are."
58,Bianca: Men jeg har ikke råd til en parkeringsbot nå.,Bianca: But I can't afford a parking ticket now.
59,"Teresa: Vi spleiser, Bianca. Jeg betaler halvparten.","Teresa: We splice, Bianca.I pay half."
60,"Bianca: Nei, det skal du ikke. Det er min bil.","Bianca: No, you shouldn't.That is my car."
61,Teresa: Men det er min skyld.,Teresa: But that's my fault.
62,"Bianca: Tusen takk, men ...","Bianca: Thank you, but ..."
63,Teresa: Nå drar vi hjem til meg og spiser pizza.,Teresa: Now we go home and eat pizza.
64,Vil du ha et glass vin også?,Do you want a glass of wine too?
65,"Bianca: Å nei, da kan jeg ikke kjøre bil etterpå.","Bianca: Oh no, then I can't drive afterwards."
66,Jeg vil ikke ha flere bøter.,I don't want any more fines.
67,HJEMME HOS TERESA,At the home of Teresa
68,Teresa bor i en gammel leilighet i 2. etasje.,Teresa lives in an old apartment on the 2nd floor.
69,"Leiligheten er på 68 kvm,","The apartment is 68 sqm,"
70,"og hun har kjøkken, stue, et soverom og bad.","And she has a kitchen, living room, a bedroom and bathroom."
71,Bianca tar av seg skoene i gangen før hun går inn i stua.,Bianca takes off her shoes in the hallway before she enters the living room.
72,Teresa setter pizzaen i ovnen og går inn til Bianca.,Teresa puts the pizza in the oven and goes into Bianca.
73,"Teresa: Ja, her bor jeg.","Teresa: Yes, here I live."
74,Bianca: Så koselig du har det.,Bianca: So cozy you have it.
75,Teresa: Takk skal du ha.,Teresa: Thank you.
76,"Jeg trives godt, men husleia er høy.","I like it, but the rent is high."
77,Nå har jeg lyst til å kjøpe en leilighet.,Now I want to buy an apartment.
78,Bianca: Men er det ikke veldig dyrt?,Bianca: But isn't it very expensive?
79,"Teresa: Jo, men det er ganske dyrt å leie også.","Teresa: Yes, but it is quite expensive to rent too."
80,"Jeg sparer litt hver måned,","I save a little every month,"
81,og snart kan jeg snakke med banken om et lån.,And soon I can talk to the bank about a loan.
82,Men hvor er Morten?,But where is Morten?
83,Bianca: Morten? Hvem er det? Er det mannen din?,Bianca: Morten?Who is it?Is that your husband?
84,"Teresa: Nei, jeg er singel.","Teresa: No, I'm single."
85,Morten er katten min. Er den i stua?,Morten is my cat.Is it in the living room?
86,Bianca: Nei.,Bianca: No.
87,Teresa: Så rart. Den er ikke på kjøkkenet.,Teresa: So weird.It is not in the kitchen.
88,Bianca: Vinduet er åpent. Kan en katt hoppe ut fra 2. etasje?,Bianca: The window is open.Can a cat jump out of the 2nd floor?
89,"Teresa: Jeg tror det, men Morten er alltid inne.","Teresa: I think so, but Morten is always in."
90,Jeg må gå ut og lete etter den.,I have to go out and look for it.
91,Jeg tar ut pizzaen først.,I take out the pizza first.
92,Bianca: Jeg blir med deg. Vi kan spise etterpå.,Bianca: I'll join you.We can eat afterwards.
93,Men hvordan ser katten din ut?,But what does your cat look like?
94,Teresa: Den er brun og veldig søt.,Teresa: It is brown and very sweet.
95,"Teresa finner ikke katten sin,","Teresa can't find her cat,"
96,og hun går ut sammen med Bianca.,And she goes out with Bianca.
97,"Teresa spor naboene sine,","Teresa track their neighbors,"
98,men ingen kan fortelle noe om katten hennes.,But no one can tell her cat.
99,"De går forbi blokker,rekkehus og eneboliger med store hager.","They pass blocks, townhouses and detached houses with large gardens."
100,"Teresa roper på katten sin, men den kommer ikke.","Teresa calls for her cat, but it doesn't come."
101,Til slutt går de tilbake til leiligheten.,"Finally, they go back to the apartment."
102,Teresa: For en dag!,Teresa: For a day!
103,"Bianca: Enig. Jeg får parkeringsbot, og du finner ikke katten din.",Bianca: Agree.I get a parking ticket and you can't find your cat.
104,Teresa: Det er veldig rart.,Teresa: It's very strange.
105,Morten går aldri ut alene.,Morten never goes out alone.
106,Men nå skal vi spise pizza og snakke litt om hotellet.,But now we're going to eat pizza and talk a little about the hotel.
107,Bianca: Fint. Det lukter godt. Men se der!,Bianca: Fine.It smells good.But look there!
108,Teresa: Hvor?,Teresa: Where?
109,Bianca: På kjøkkenet.,Bianca: in the kitchen.
110,Hvem står på benken med en stor pizzabit i munnen?,Who stands on the bench with a big pizza in the mouth?
111,"Teresa: Nei, det er ikke sant!","Teresa: No, that's not true!"
112,"Bianca: Jo, det er sant. Den er brun og veldig søt.","Bianca: Yes, it's true.It is brown and very sweet."
113,BIANCA ER JOURNALIST,Bianca is a journalist
114,Jeg heter Bianca Ortiz og er journalist i Solvåg avis.,My name is Bianca Ortiz and I am a journalist in Solvåg Avis.
115,Jeg skriver om små og store saker i lokalmiljøet.,I write about small and large issues in the local community.
116,Nå skriver jeg om Solvåg hotell.,Now I write about Solvåg Hotel.
117,"Jeg intervjuer mange på hotellet,","I interview many at the hotel,"
118,"både en kokk, en resepsjonist, en servitør og en renholder.","Both a chef, a receptionist, a waiter and a cleaner."
119,Alle har en interessant historie å fortelle.,Everyone has an interesting story to tell.
120,"Jeg elsker å treffe nye mennesker,","I love meeting new people,"
121,og jeg er nysgjerrig.,And I'm curious.
122,Hvordan har de det?,How are they doing?
123,Hva gjør de? Hva mener de?,What did?What do they mean?
124,Hvilke planer har de?,What plans do they have?
125,"Jeg kommer fra Brasil,","I come from Brazil,"
126,men jeg snakker og skriver godt norsk.,But I speak and write good Norwegian.
127,Foreløpig jobber jeg som vikar i avisen.,So far I work as a substitute in the newspaper.
128,"Jeg tjener ikke så mye,","I don't earn that much,"
129,og jeg må være forsiktig med pengene mine.,And I have to be careful about my money.
130,"Jeg har ei datter i Brasil,","I have a daughter in Brazil,"
131,og jeg sender penger til familien hver måned.,And I send money to the family every month.
132,En parkeringsbot kan ødelegge budsjettet mitt!,A parking can ruin my budget!
133,Jeg håper selvfølgelig å få fast jobb i avisen en dag.,"Of course, I hope to get a permanent job in the newspaper one day."
134,UTTRYKK,EXPRESSION
135,Hvordan blir været i morgen?,How is the weather tomorrow?
136,Det blir regn. Det blir sol,It gets rain.It will be sunny
137,Hvordan lukter det? Det lukter godt.,How does it smell?It smells good.
138,Hvordan ser katten ut? Den er brun og veldig set.,What does the cat look like?It is brown and very set.
139,Hvor stopper bussen? På den andre siden av gata.,Where does the bus stop?On the other side of the street.
140,Hvor ofte går den? Hvert kvarter.,How often does it go?Every quarter.
141,Hvor langt er det til sentrum? Tre kilometer.,How far is it to downtown?Three kilometers.
142,Hvor lang tid tar det? Det tar sju minutter med buss.,How long does it take?It takes seven minutes by bus.
143,Hva skal de feire? De skal feire 17. mai.,What should they celebrate?They will celebrate May 17.
144,"Har hun dårlig råd? Ja, hun har lite penger.","Does she have bad advice?Yes, she has little money."
145,Hvor stor er boligen? Den er på 68 kvm.,How big is the home?It is 68 sqm.
146,"Trives du her? Ja, jeg liker meg godt her.","Do you like it here?Yes, I like here."
147,"Er det min skyld? Nei, det er det ikke.","Is it my fault?No, it is not."
148,"Du må kjøre med én gang! Ja, nå kjører jeg.","You have to drive right away!Yes, now I drive."
