,NO,EN
120,Det er fint. Det er fritt her. ,It is nice.It's free here.
121,To menn kan være kjærester og gå hånd i hånd på gata. ,Two men can be boyfriends and go hand in hand on the street.
122,Det har jeg aldri sett før. ,I've never seen that before.
123,Det er litt rart for meg. ,It's a bit strange for me.
124,Hjemme er det forbudt. ,At home it is prohibited.
125,Jeg synes det er mye kjedelig mat i butikkene.,I think there is a lot of boring food in the stores.
126,Nordmenn tror at Grandiosa er ekte pizza! ,Norwegians think Grandiosa is real pizza!
127,Dessuten er folk ofte stille. ,"Besides, people are often quiet."
128,Hjemme prater vi mye mer. ,At home we talk much more.
129,Takk skal dere ha. ,Thank you.
130,Dere har fortalt mye interessant. ,You've told a lot of interesting.
131,"Og forresten, en ting til: Nordmenn takker mye.","And by the way, one more thing: Norwegians thank you a lot."
132,Dere sier Ja takk! og Nei takk! og Takk for maten! og Takk for sist!,You say yes please!And no thanks!And thanks for the food!Thanks for last time!
133,Det har du rett i. ,You are right.
134,"Nå er timen slutt, og da sier jeg Takk for i dag! Takk for i dag!","Now the hour is over, and then I say thank you for today!Thank you for today!"
135,Vi ses onsdag. Ha det bra så lenge. ,See you Wednesday.Goodbye.
136,"Norge har ca. 5,3 millioner innbyggere, og landet er nesten 1800 km langt.","Norway has approx.5.3 million inhabitants, and the country is almost 1800 km long."
137,Hovedstad: Oslo med nesten 700 000 innbyggere,"Capital: Oslo with nearly 700,000 inhabitants"
138,"Andre store byer: Bergen, Trondheim, Stavanger, Kristiansand og Drammen","Other big cities: Bergen, Trondheim, Stavanger, Kristiansand and Drammen"
139,Store deler av Norge er fjellområder.,Large parts of Norway are mountain areas.
140,"38% er dekket av skog, og ca. 5 % er innsjøer og elver. Bare 3% er dyrket mark.","38% are covered with forests, and approx.5 % are lakes and rivers.Only 3% are cultivated land."
141,"Landet har grenser til Sverige, Finland og Russland. Se kart foran i boka.","The country has borders on Sweden, Finland and Russia.See map in the front of the book."
142,% = prosent,% = percent
143,1 mil = 10 kilometer,1 mile = 10 kilometers
144,%= prosent,%= percent
145,VELFERDSSTAT,Welfare
146,Norge er en velferdsstat.,Norway is a welfare state.
147,Staten og kommunene har ansvar for å sikre alle innbyggerne helsetjenesteog utdanning. ,The state and municipalities are responsible for ensuring all the inhabitants health service and education.
148,Alle har også rett til hjelp nånde trenger det.,Everyone also has the right to help it.
149,Pengene til dette kommer fra skatter og avgifter. ,The money for this comes from taxes.
150,Velferdsstaten er avhengig av at vi arbeider og betaler skatt.,The welfare state depends on us working and paying taxes.
