,NO,EN
27,Sara: Kan du ikke prøve den?,Sara: Can't you try it?
28,Øyvind: Jeg har ikke lyst til å prøve klær.,Øyvind: I don't want to try clothes.
29,Sara: Hvorfor ikke? Du må også kjøpe nye klær noen ganger.,Sara: Why not?You also have to buy new clothes sometimes.
30,Du har bare kjedelige klær.,You only have boring clothes.
31,Øyvind: Har jeg det? Ok. Vi går inn.,Øyvind: Do I have it?OK.We enter.
32,"Selger: Hei. Trenger dere hjelp, eller vil dere bare kikke litt?","Seller: Hi.Do you need help, or do you just want to look a little?"
33,Øyvind: Dere har en lilla genser i vinduet. Hva koster den?,Øyvind: You have a purple sweater in the window.What does it cost?
34,Selger: 370 kroner. Den er på salg.,Seller: NOK 370.It's on sale.
35,Øyvind: Kan jeg prøve den?,Øyvind: Can I try it?
36,Selger: Selvfølgelig. Hvilken størrelse bruker du?,Seller: Of course.What size are you?
37,Øyvind: Størrelse 52 eller 54.,Øyvind: Size 52 or 54.
38,"Selger: Her er en genser i large. Den passer, tror jeg.","Seller: Here is a sweater in Large.It fits, I think."
39,Prøverommet er der borte.,The dressingroom is over there.
40,Øyvind prover genseren.,Øyvind Prover the sweater.
41,Han kommer ut fra prøverommet og smiler.,He comes out of the rehearsal room and smiles.
42,"Sara: Du er kjempefin, pappa!","Sara: You are terrific, dad!"
43,Øyvind: Synes du det? Er den ikke for liten?,Øyvind: Do you think so?Is not it too small?
44,"Sara: Nei, den passer akkurat.","Sara: No, it fits exactly."
45,Øyvind: Jeg tar den. Den er ganske billig.,Øyvind: I take it.It's pretty cheap.
46,Selger: Skal det være noe mer?,Seller: Should there be anything more?
47,Dyvind: Jeg tror ikke det.,Dyvind: I don't think so.
48,Sara: Du trenger kanskje et skjerf?,Sara: You may need a scarf?
49,"Et blått, nei, et grått skjerf","A blue, no, a gray scarf"
50,Selger: Her er et grått skjerf.,Seller: Here's a gray scarf.
51,Dette passer veldig fint til genseren.,This fits very well with the sweater.
52,Øyvind: Bra. Jeg tar det. Hvor mye blir det?,Øyvind: Good.I'll take it.How much is that?
53,Selger: Det blir 870 kroner til sammen.,Seller: There will be NOK 870 together.
54,Øyvind: Hva? Koster skjerfet 500 kroner?,Øyvind: What?Does the scarf cost 500 kroner?
55,"Selger: Ja, men vanlig pris er 700 kroner.","Seller: Yes, but the usual price is 700 kroner."
56,Det er et godt tilbud. Og fargen er fin til deg.,It's a good deal.And the color is nice for you.
57,"Øyvind:Ok, da.","Øyvind: Okay, then."
58,Sara: Nå viser vi klærne til mamma.,Sara: Now we show my mom's clothes.
59,Hun synes sikkert at de er fine.,She probably thinks they're fine.
60,Øyvind: Hm. Et skjerf til 500 kroner og ei bukse med hull?,Øyvind: Hm.A scarf for 500 kroner and a pants with holes?
61,Jeg er ikke helt sikker.,I'm not quite certain.
62,Selger: Velkommen tilbake!,Seller: Welcome back!
63,Øyvind: Takk for det!,Øyvind: Thanks for that!
64,Sara og Øyvind går forbi en butikk med herreklær.,Sara and Øyvind pass a shop with men's clothing.
65,Sara ser en lilla genser i vinduet.,Sara sees a purple sweater in the window.
66,"De går inn, og Øyvind prover genseren.","They enter, and Øyvind tries the sweater."
67,"Den er fin, og den koster bare 370 kroner.",It is nice and it costs only 370 kroner.
68,Det er ganske billig.,It's pretty cheap.
69,Øyvind kjøper også et grått skjerf.,Øyvind also buys a gray scarf.
70,"Det er på tilbud, men det er dyrt. Øyvind betaler 870 kroner til sammen.","It is on offer, but it is expensive.Øyvind pays NOK 870 in total."
71,Nå vil de vise klærne til Jolanta. Men hva kommer hun til å si?,Now they want to show the clothes to Jolanta.But what is she going to say?
72,I MATBUTIKKEN,In the grocery store
73,Jolanta jobber i matvarebutikken på kjøpesenteret.,Jolanta works in the grocery store at the mall.
74,Hun jobber både i ferskvaredisken og i kassa.,She works both in the fresh produce counter and in the cash register.
75,"I ferskvaredisken skjærer hun opp kjøtt, pålegg og fisk, og hun hjelper kunder.","In the fresh produce counter she cuts up meat, toppings and fish, and she helps customers."
76,En kunde kommer til disken.,A customer comes to the counter.
77,Jolanta: Kan jeg hjelpe deg?,Jolanta: Can I help you?
78,Kunden: Ja takk. Jeg skal ha noen venner på middag i morgen.,Customer: Yes please.I'll have some friends for dinner tomorrow.
79,Hva kan du anbefale?,What can you recommend?
80,Jolanta: Kanskje laks?,Jolanta: Maybe salmon?
81,Jeg liker å servere laks med sitron og olivenolje.,I like to serve salmon with lemon and olive oil.
82,Kunden: Kan den ligge i kjøleskapet til i morgen?,Customer: Can it be in the fridge until tomorrow?
83,"Jolanta: Ja, det går bra.","Jolanta: Yes, it's going well."
84,Kunden: Vi blir fire personer. Hvor mye fisk trenger jeg?,Customer: We become four people.How much fish do I need?
85,Jolanta: Til fire personer? Mellom 800 gram og en kilo.,Jolanta: To four people?Between 800 grams and a kilo.
86,Kunden: Hva er kiloprisen?,Customer: What is the kilo price?
87,"Jolanta: 149,90.",Jolanta: 149.90.
88,Kunden: Da tar jeg en kilo. Men hvor finner jeg sitron?,The customer: Then I take a pound.But where do I find lemon?
89,"Jolanta: I fruktavdelingen. Gå rett fram, og så til høyre.","Jolanta: In the fruit department.Go straight ahead, and then to the right."
90,Kunden: Og olivenolje?,Customer: And olive oil?
91,Jolanta: Da må du gå rett fram og til venstre.,Jolanta: Then you have to go straight ahead and to the left.
92,Du finner olivenolje ved siden av ketchup og sennep.,You will find olive oil next to ketchup and mustard.
93,Kunden: Fint. Tusen takk for hjelpen.,Customer: Fine.Thanks for your help.
94,"Jolanta: Bare hyggelig, og lykke til med middagen.","Jolanta: Just nice, and good luck with dinner."
95,Litt senere sitter Jolanta i kassa.,"A little later, Jolanta sits in the cash register."
96,Hun hilser på kundene og skanner inn varene.,She greets the customers and scans the goods.
97,Jolanta: Hei.,Jolanta: Hi.
98,En kunde: Hei.,A customer: Hi.
99,Jolanta: Trenger du pose?,Jolanta: Do you need a bag?
100,"Kunden: Ja takk, to poser.","Customer: Yes please, two bags."
101,Jolanta: Vær så god. Er du medlem her?,Jolanta: Please.Are you a member here?
102,"Kunden: Nei, det er jeg ikke.","Customer: No, I'm not."
103,Jolanta: Det blir 195 kroner.,Jolanta: It will be 195 kroner.
104,Vil du ha kvittering?,Do you want a receipt?
105,Kunden: Nei takk.,Customer: No thanks.
106,Jolanta: Ha en fin dag!,Jolanta: Have a nice day!
107,Kunden: I like måte!,Customer: In the same way!
108,En oppskrift,A recipe
109,Jolanta hjelper en kunde.,Jolanta helps a customer.
110,Han skal lage middag og kjøper luks,He's going to make dinner and buys luxury
111,Her er en oppskrift:,Here's a recipe:
112,LAKS I OVN TIL FIRE PERSONER,Salmon in oven to four people
113,Du trenger:,You need:
114,800 g fersk laksefilet,800 g fresh salmon fillet
115,2 ss soyasaus,2 tablespoons soy sauce
116,ss = spiseskje,SS = tablespoon
117,4 ss olivenolje,4 tablespoons olive oil
118,1 sitron,1 lemon
119,salt og pepper,salt and pepper
120,Du gjør:,You do:
121,Sett stekeovnen på 180 °C.,Put the oven at 180 ° C.
122,Skjær laks i serveringsstykker og legg stykkene i en ildfast form,Cut salmon into serving pieces and put the pieces in a refractory form
123,"Ha soyasaus, olivenolje, saft fra sitronen og litt salt og pepper over laksen.","Put soy sauce, olive oil, juice from the lemon and a little salt and pepper over the salmon."
124,Stek laksen i ovnen i cirka 10-12 minutter.,Fry the salmon in the oven for about 10-12 minutes.
125,Server laksen sammen med en god salat.,Serve the salmon with a good salad.
126,JOLANTA ER BUTIKKMEDARBEIDER,Jolanta is a store employee
127,Jeg jobber som butikkmedarbeider.,I work as a store employee.
128,"En butikkmedarbeider kan arbeide mange forskjellige steder,","A store employee can work in many different places,"
129,"for eksempel i en matbutikk, i en sportsbutikk eller i en klesbutikk.","For example, in a grocery store, in a sports shop or in a clothing store."
130,Jeg jobber i en matbutikk.,I work in a grocery store.
131,"Jeg kjenner butikken godt, og jeg liker å hjelpe kundene.",I know the store well and I like to help customers.
132,God service er viktig.,Good service is important.
133,"Kundene har mange spørsmål, og noen ber om råd.",Customers have many questions and some ask for advice.
134,Hvor lenge skal jeg steke kyllingen? spør de.,How long should I fry the chicken?They ask.
135,Hva kan jeg servere sammen med laks?,What can I serve with salmon?
136,Jeg smiler og svarer.,I smile and answer.
137,"Jeg har ikke utdanning som butikkmedarbeider,","I don't have education as a store employee,"
138,men jeg får opplæring i butikken.,But I get training in the store.
139,Jeg går på kurs og lærer mye om mat.,I go to courses and learn a lot about food.
140,Jeg lærer å pakke og oppbevare mat riktig.,I learn to pack and store food properly.
141,Hver dag rydder og vasker jeg.,Every day I clean and wash.
142,Det skal se ryddig og pent ut i butikken.,It should look neat and nice in the store.
143,"Jeg har mange arbeids-oppgaver og mye ansvar, og det liker jeg.","I have many work tasks and a lot of responsibility, and I like that."
