,NO,EN
35,"Øyvind lager frokost på kjøkkenet, og Nikos serverer. ","Øyvind makes breakfast in the kitchen, and Nikos serves."
36,De har mye å gjøre. Øyvind snakker med Nikos:,They have a lot to do.Øyvind talks to Nikos:
37,"Øyvind: Bra, Nikos. Godt jobba!","Øyvind: Good, Nikos.Good work!"
38,Nå tar vi oss en kopp kaffe.,Now we have a cup of coffee.
39,Fint. Jeg trenger en pause.,Fine.I need a break.
40,Her er en kopp kaffe til deg. Vær så god.,Here's a cup of coffee for you.You're welcome.
41,Nikos: Takk skal du ha.,Nikos: Thank you.
42,Øyvind: Liker du jobben?,Øyvind: Do you like the job?
43,"Ja, det gjør jeg. Det er hyggelig her.",Yes I do.It's nice here.
44,Øyvind: Enig. Litt kake?,Øyvind: Agree.A little cake?
45,"Nikos: Nei takk, ikke kake til meg. Men kanskje Teresa har lyst på kake?","Nikos: No thanks, not cake for me.But maybe Teresa wants cake?"
46,Øyvind: Teresa? Teresa i resepsjonen?,Øyvind: Teresa?Teresa at the reception?
47,Nikos: Ja.,Nikos: Yes.
48,"Øyvind: Aha! Ja, selvfølgelig. Her har du kake til Teresa.",Øyvind: Aha!Yes of course.Here you have cake for Teresa.
49,Øyvind og Nikos har pause. De drikker kaffe.,Øyvind and Nikos have a break.They are drinking coffee.
50,Nikos spiser ikke kake. Øyvind gir ham litt kake til Teresa.,Nikos does not eat cake.Øyvind gives him some cake to Teresa.
51,2.6)I RESEPSJONEN,2.6) At the reception
52,Teresa sitter i resepsjonen. I dag er det rolig der.,Teresa sits at the reception.Today it is calm there.
53,Hun hilser på Nikos.,She greets Nikos.
54,"Teresa: Hei, Nikos. Hyggelig å se deg.","Teresa: Hi, Nikos.Nice to see you."
55,Nikos: I like måte.,Nikos: In the same way.
56,Vær så god. Her er litt kake til deg. Fra Øyvind.,You're welcome.Here's a little cake for you.From Øyvind.
57,Teresa: Å tusen takk! Så hyggelig av ham.,Teresa: Oh thank you!So nice of him.
58,Går det bra på jobben?,Is it going well at work?
59,"Jeg forstår ikke alt, men det går ganske bra.","I don't understand everything, but it's going pretty well."
60,Teresa: Hvilke dager jobber du?,Teresa: What days do you work?
61,"Nikos: Jeg jobber vanligvis mandag, torsdag, fredag, lørdag og søndag.","Nikos: I usually work Monday, Thursday, Friday, Saturday and Sunday."
62,Jeg har fri tirsdag og onsdag. Og du? Når har du fri?,I am free Tuesday and Wednesday.And you?When do you have free time?
63,Teresa: Vanligvis lørdag og søndag.,Teresa: Usually Saturday and Sunday.
64,Nikos: Hva gjør du da?,Nikos: What are you doing then?
65,Teresa: Da slapper jeg av sammen med Morten.,Teresa: Then I relax with Morten.
66,Nikos: Åh. Er du gift?,Nikos: Oh.Are you married?
67,Teresa: Nei! Morten er en katt!,Teresa: No!Morten is a cat!
68,TERESA ER RESEPSJONIST,Teresa is a receptionist
69,"Jeg heter Teresa Manalo, og jeg jobber på Solvåg hotell. ","My name is Teresa Manalo, and I work at Solvåg Hotel."
70,Der er jeg resepsjonist. ,There I am a receptionist.
71,Jeg tar imot gjester og bestillinger.,I welcome guests and orders.
72,"Jeg har mye å gjøre, men jeg liker jobben. ","I have a lot to do, but I like the job."
73,Vi får gjester fra mange land. ,We get guests from many countries.
74,"Jeg snakker med dem, og jeg forteller dem om hotellet og om Solvåg.",I talk to them and I tell them about the hotel and about Solvåg.
75,"Jeg kommer fra Filippinene, men nå bor jeg i Norge.","I come from the Philippines, but now I live in Norway."
