,NO,EN
22,Jeg er redd for å ta opp mer i lån nå. Tenk om renta går opp.,I'm afraid to take out more in loans now.Imagine if the interest rate goes up.
23,Er du ikke litt pessimistisk nå?,Aren't you a little pessimistic now?
24,"Nei, bare fornuftig, og dessuten liker jeg ikke fiskeboller!","No, just sensible, and besides, I don't like fish balls!"
25,GODE SPARETIPS,Good savings tips
26,Hei. Jeg er student og har ALLTID dårlig råd.,Hello.I am a student and always have bad advice.
27,"Har dere noen gode sparetips? Hei, Mona. ","Do you have any good savings tips?Hi, Mona."
28,"Vi er i samme båt, skjønner jeg, men nå har jeg i alle fall fått redusert matbudsjettet. ","We are in the same boat, I understand, but now I have at least reduced the food budget."
29,"Jeg har sluttet å kaste mat, og det er utrolig så mange gode restemiddager man kan lage. ","I have stopped throwing food, and there are so many good leftover dinners."
30,Dessuten går jeg aldri i butikken på tom mage lenger. Det gjorde jeg før. ,"Besides, I never go to the store on an empty stomach anymore.I did before."
31,Da hadde jeg lyst på ALT og kom hjem med mye jeg ikke trengte.,Then I wanted everything and came home with a lot I didn't need.
32,Et godt tips er å sjekke klesskapet. ,A good tip is to check the wardrobe.
33,Hvor mange klesplagg trenger du egentlig? ,How many clothes do you really need?
34,Når brukte du den gule jakka sist?,When did you wear the yellow jacket last?
35,Eller de lysebrune buksene? Kan du selge noe? ,Or the light brown pants?Can you sell something?
36,Selv har jeg en konto på Tise. ,I myself have an account on Tise.
37,Jeg selger så mye klær at jeg går i null på klesbudsjettet. ,I sell so much clothes that I go to zero on the clothing budget.
38,Tidligere brukte jeg altfor my penger på klær.,"Previously, I spent too my money on clothes."
39,"Jeg hadde mange abonnementer og apper som jeg betalte for, men ikke brukte noe særlig. ","I had many subscriptions and apps that I paid for, but didn't use anything."
40,"De ble fornyet automatisk, men nå har jeg ryddet opp og avsluttet flere av dem. ","They were renewed automatically, but now I have cleaned up and ended several of them."
41,Dessuten har jeg nettopp skiftet til et billigere mobilabonnement og kommer til å spare noen tusenlapper på det i året.,"Besides, I have just changed to a cheaper mobile subscription and will save a few thousand dollars on it this year."
42,Å vare i samme båt ,To last in the same boat
43,Å gå på tom mage ,To go on an empty stomach
44,Å gå i null på klesbudsjettet,To go to zero on the clothes budget
45,EN BOLIGANNONSE,A housing ad
46,"For en måned siden snakket Tove og Lasse om bilkjøp, men nå har de andre ting å tenke på. ","A month ago, Tove and Lasse talked about car purchases, but now they have other things to think about."
47,Tove er gravid.,Tove is pregnant.
48,Hun kan nesten ikke tro det. ,She can hardly believe it.
49,39 år og gravid for første gang!,39 years and pregnant for the first time!
50,"Begge er kjempeglade, men nå trenger de større plass.","Both are very happy, but now they need more space."
51,"I leiligheten deres er det to soverom, og det ene soverommet bruker Amalie når hun bor hos dem. ","In their apartment there are two bedrooms, and one bedroom uses Amalie when she lives with them."
52,Nå ønsker de seg en større bolig. ,Now they want a bigger home.
53,De setter opp et budsjett for å se hva de har råd til. ,They set up a budget to see what they can afford.
54,Den gamle bilen må de prøve å beholde et par år til.,They must try to keep the old car for another couple of years.
55,"De trenger en leilighet eller et rekkehus med tre soverom, men de har ikke lyst til å flytte så langt. ","They need a three -bedroom apartment or townhouse, but they don't want to move that far."
56,De ser på mange annonser. ,They look at many ads.
57,"Mesteparten er for dyrt eller ligger for langt unna skolen til Amalie, men etter my leting finner de en leilighet som ser fin ut.","Most are too expensive or are too far away from the school of Amalie, but after my exploration they find an apartment that looks nice."
58,Hyggelig 4-roms leilighet med balkong og heis,Nice 4-room apartment with balcony and elevator
59,Om nabolaget,About the neighborhood
60,Om meglerfirmaet,About the brokerage firm
61,Velkommen til Vestsvingen 15,Welcome to Vestsvingen 15
62,"Leiligheten ligger i et sentralt og barnevennlig område, med gangavstand til butikker, kollektivtilbud og kafeer. ","The apartment is located in a central and child -friendly area, within walking distance to shops, public transport and cafes."
63,Barnehage og skole ligger i nærheten.,Kindergarten and school are nearby.
64,Leiligheten har et stort soverom med god plass til dobbeltseng. ,The apartment has a large bedroom with plenty of room for a double bed.
65,I tillegg er det to mindre soverom. ,"In addition, there are two smaller bedrooms."
66,"Stua er lys og pen, og med plass til bade spisebord og sofagruppe. ","The living room is light and pretty, and with room for a bathing table and sofa group."
67,"Kjøkkenet er nytt, med integrerte hvitevarer og plass til et lite kjøkkenbord. ","The kitchen is new, with integrated appliances and space for a small kitchen table."
68,"Bad og gang kan oppgraderes, slik at du får sat ditt eget preg på leiligheten. ",Bathrooms and hallways can be upgraded so that you get your own touch on the apartment.
69,Her er det mange spennende muligheter.,Here are many exciting opportunities.
70,"Velkommen til vining søndag 26.11, kl. 13-14 og mandag 27.11, kl. 19-20.","Welcome to winning Sunday 26.11, at.13-14 and Monday 27.11, at.19-20."
71,Salgsoppgaven beskriver viktig informasjon om eiendommen,The sales assignment describes important information about the property
72,Se hele salgsoppgaven,See the full sales assignment
73,I BANKEN,In the bank
74,"Før de gar pa visning, snakker Tove og Lasse med banken om et boliglån. ","Before they are on view, Tove and Lasse talk to the bank about a mortgage."
75,De har et mote med en kunderadgiver i banken. ,They have a fashion with a customer radio customer.
76,Hun forteller at 15% av prisen på den nye leiligheten må være egenkapital. ,She says that 15% of the price of the new apartment must be equity.
77,De får altså ikke låne mer enn 85% av det leiligheten koster. ,So they do not borrow more than 85% of what the apartment costs.
78,Dessuten kan gjelda deres ikke være større enn fem ganger inntekten.,"In addition, their debt may not be greater than five times the income."
79,"Tove og Lasse visste dette fra før, men i banken får de en overraskelse. ","Tove and Lasse knew this before, but in the bank they get a surprise."
80,Kunderådgiveren sier at de har 150 000 kroner mer i gjeld enn det de tror. ,"The customer advisor says they have NOK 150,000 more in debt than they think."
81,"Tove protesterer. Nei, så mye gjeld har vi ikke. ","Tove protests.No, we don't have that much debt."
82,Det kan ikke stemme.,It can't vote.
83,Rådgiver,Adviser
84,"Jo, det gjør nok det. ","Yes, it probably does."
85,Dere har 150 000 kroner i kredittkortgjeld.,"You have NOK 150,000 in credit card debt."
86,Kredittkortgjeld?  Vi har ikke kredittkort.,Credit card debt?We don't have credit cards.
87,"Jo-o. Jeg har tre stykker, men jeg har aldri brukt dem.","Jo-O.I have three pieces, but I've never used them."
88,Har du tre kredittkort? Ja. ,Do you have three credit cards?Yes.
89,"Jeg har ett kort for å kjøpe bensin, et annet for å bestille reiser og et tredje for å kjøpe datautstyr, men jeg har aldri brukt dem. ","I have one card to buy gasoline, another to book travel and a third to buy computer equipment, but I have never used them."
90,De ligger bare i skuffen hjemme.,They are just in the drawer at home.
91,Disse kortene gir deg anledning til å bruke 150 000 kroner til sammen. ,"These cards give you the opportunity to spend NOK 150,000 in total."
92,"Selv om du ikke bruker dem, definerer banken disse pengene som geld.","Even if you do not use them, the bank defines this money as Geld."
93,Er det sant? Jeg føreslår at du tar kontakt med kredittkortselskapene og sier opp kortene dine.,Is it true?I suggest you contact your credit card companies and cancel your cards.
94,Takk for tipset. Det skal jeg gjøre.,Thanks for the tip.I will do that.
95,"Vel, Lasse. Jeg visste ikke at du hadde kredittkort.","Well, Lasse.I didn't know you had a credit card."
96,"Jeg håper du ikke har flere overraskelser.: Nei, nei, det har jeg ikke. Jeg lover.","I hope you have no more surprises: No, no, I haven't.I promise."
97,VANLIGE UTGIFTER,Common expenses
98,"Diagrammet under viser hva vi som bor i Norge, bruker penger på.",The diagram below shows what we who live in Norway spend money on.
99,Vi kan se dette:,We can see this:
100,Bolig og oppvarming er en stor utgift.,Housing and heating are a great expense.
101,Vi bruker mye penger på transport.,We spend a lot of money on transport.
102,Tallet inkluderer transport til og fra jobb og kostnadene ved å ha bil.,The figure includes transport to and from work and the cost of having a car.
103,"Vi bruker ikke så mye penger på mat, selv om matprisene er høye.","We don't spend as much money on food, even though food prices are high."
104,Vi bruker lite penger på helse og utdanning.,We spend little money on health and education.
105,Mesteparten av dette blir betalt av staten.,Most of this is paid by the state.
106,Vi bruker mye penger på «andre varer og tienester». ,"We spend a lot of money on ""other goods and tenests""."
107,"Dette er penger vi bruker på oss selv og familien, for eksempel kjøpe klar og møbler, gå til frisøren, spise ute eller reise på ferie.","This is money we spend on ourselves and the family, such as buy ready and furniture, go to the hairdresser, eat out or travel on vacation."
108,Dette bruker vi penger på,This we spend money on
109,Matvarer og alkoholfrie drikkevarer: 11 %,Foods and non -alcoholic beverages: 11 %
110,Kultur og fritid: 11 %,Culture and leisure: 11 %
111,Transport: 15 %,Transport: 15 %
112,"Bolig, lys og brensel: 22 %","Housing, light and fuel: 22 %"
113,"Helse og utdanning: 3,5 %",Health and Education: 3.5 %
114,"Andre varer og tjenester: 37,5 %",Other goods and services: 37.5 %
115,PÅ VISNING,On view
116,Tove og Lasse får lån i banken og kan gå på visning. ,Tove and Lasse get loans in the bank and can go to view.
117,De er imidlertid ikke fornøyde med leiligheten. ,"However, they are not happy with the apartment."
118,"Det store soverommet er ikke så stort som de trodde, og de to andre rommene er veldig små. ","The large bedroom is not as big as they thought, and the other two rooms are very small."
119,Den lyse stua er heller ikke så lys som annonsen sa. ,The bright living room is also not as light as the ad said.
120,"Den er faktisk litt mørk, med et lite vindu ut mot en bakgård. ","It is actually a bit dark, with a small window out towards a backyard."
121,I den lille gangen er det ikke noe skap med plass til stovsuger og andre ting.,In the small hallway there is no closet with room for stoves and other things.
122,Dessuten er badet gammelt. ,"Also, the bathroom is old."
123,"Hvor mye vil det koste å bygge et nytt bad eller «oppgradere» det, som det står i annonsen? ","How much will it cost to build a new bathroom or ""upgrade"" it, as it says in the ad?"
124,"Nei, dette blir for dyrt. ","No, this gets too expensive."
125,Denne leiligheten vil de ikke legge inn bud på. ,They will not bid this apartment.
126,Det er bedre å vente til en annen gang og håpe at drømmeboligen dukker opp.,It is better to wait for another time and hope that the dream home shows up.
127,Velkommen på visning!,Welcome to view!
128,SARA VIL FLYTTE,Sara will move
129,Det er litt vanskelig hjemme hos Hamid og Pari for tiden.,It's a bit difficult at Hamid and Pari at the moment.
130,Darian trives ikke på skolen og har sagt at han har lyst til å slutte. ,Darian does not enjoy school and has said he wants to quit.
131,"Han vil heller jobbe med musikk, sier han. ","He would rather work with music, he says."
132,"Men han går i andre klasse på videregaende, og foreldrene vil at han skal gjøre ferdig skolen. ","But he goes to second grade at the second, and his parents want him to finish school."
133,I tillegg har Sara sagt at hun vil flytte hjemmefra og inn i et kollektiv sammen med tre andre jenter. ,"In addition, Sara has said that she wants to move away from home and into a collective with three other girls."
134,"Foreldrene er veldig skeptiske, og det er ganske dårlig stemning i huset.","The parents are very skeptical, and there is quite a bad mood in the house."
135,Du kan vel bo hjemme til du er ferdig med farmasistudiet? ,You can stay at home until you finish the pharmacy study?
136,Hvorfor vil du flytte inn i et kollektiv?,Why do you want to move into a collective?
137,"Fordi det er mer sentralt og nærmere universitetet, så jeg slipper å ta bussen hver dag. ","Because it is more central and closer to the university, so I don't have to take the bus every day."
138,Jeg kan gå. ,I can go.
139,"Vi har funnet en bra og billig leilighet med fire soverom, og så skal vi dele på husleia og strømmen. ","We have found a good and cheap four -bedroom apartment, and then we will share the rent and the power."
140,Dessuten har jeg lyst til å bo sammen med de andre. Dere har jo truffet dem.,"Besides, I want to live with the others.You have met them."
141,"Ja, det er hyggelige jenter, men vi liker det ikke.","Yes, there are nice girls, but we don't like it."
142,"Her hjemme kan du studere i fred, og du bor gratis.",Here at home you can study in peace and you live for free.
143,Du behøver verken å betale for husleie eller mat.,You don't have to pay for rent or food.
144,"Vi gjør alt for å hjelpe deg. Jeg vet det, og dere er veldig snille. ",We do everything to help you.I know it and you are very kind.
145,Likevel føler jeg meg ... ,"Still, I feel ..."
146,"Nei, det er vanskelig å forklare. Du er bare 23 år, Sara. ","No, it's hard to explain.You're only 23 years old, Sara."
147,Vi får tenke på det.,We get to think about it.
148,"Sara er skuffet, men hun har ikke lyst til å krangle med foreldrene sine. ","Sara is disappointed, but she doesn't want to argue with her parents."
149,Dagen etter leser hun en fin historie om to treer. ,The next day she reads a nice story about two trees.
150,Hun legger den ut pa Facebook og håper at foreldrene vil lese den. ,She posts it on Facebook and hopes her parents will read it.
151,Kanskje forstår de litt mer da? Det store og det lille treet,Maybe they understand a little more then?The big and the small tree
152,Det var en gang et lite tre som sto ved siden av et stort og kraftig tre.,There was once a small tree standing next to a large and powerful tree.
153,"Det lille treet sto tryt i storm og uvær, men det var lite lys og luft å vokse i.","The small tree stood in storms and storms, but there was little light and air to grow in."
154,"En dag kom noen og hogde det store treet, og det lille treet sto alene igjen.","One day someone came and chopped the big tree, and the little tree was left alone."
155,"Det hadde ikke lenger noen beskyttelse fra det store treet, men nå fikk det lys og luft.","It no longer had any protection from the big tree, but now it got light and air."
156,"Det lille treet begynte å vokse i høyden, og etter en stund ble det et sterkt og flott tre som klarte seg i all slags vær.","The small tree began to grow in height, and after a while it became a strong and beautiful tree that managed in all kinds of weather."
157,"Flott tekst, Sara!","Great text, Sara!"
158,"JA, GRATULERER MED NY LEILIGHET, DA","Yes, congratulations on new apartment, then"
159,"TAKK. HVOR BOR DU SELV, DA?","THANKS.Where do you live, then?"
160,JEG HAR FAKTISK AKKURAT FLYTTET INN I KOLLEKTIV!,"In fact, I have just moved into a collective!"
161,SÅ KOSELIG. HVEM BOR DU SAMMEN MED?,SO COZY.WHO DO YOU LIVE WITH?
162,ET VELDIG KULT ELDRE PARI. OK? DET VAR DA UVANLIG?,A very cool older par.OK?It was unusual then?
163,DE ER KJEMPESNILLE! DE LAGER MAT OG RER OPP SENGA MI OG VASKER KLÆRNE MINE.,They are awesome!They cook and raise my bed and wash my clothes.
164,MENER DU AT DU BOR HOS FORELDRENE DINE?,Do you mean you live with your parents?
165,SLIK KAN MAN OGSA SE PÅ DET! VELDIG KULE ER DE I HVERT FALL,This is how you can also look at it!Very cool are they at least
166,BO HJEMME,Stay at home
167,Personer i alderen 20-24 år som bor sammen med foreldrene sine,Persons aged 20-24 years who live with their parents
168,leie - eie?,Rent - own?
169,Du leier en bolig når du betaler husleie til eieren. ,You rent a home when you pay rent to the owner.
170,Boligen er ikke din.,The home is not yours.
171,"Når du kjøper en bolig, eier du den.","When you buy a home, you own it."
172,Et kollektiv er et bofellesskap der flere deler på bolig og husleie.,A collective is a community where several parts of housing and rent.
173,lån - gjeld - avdrag - rente - egenkapital,Loans - Debt - Disorders - Interest - Equity
174,"De fleste som kjøper en bolig, må ta opp et lån i banken for å få nok penger.",Most people who buy a home have to take out a loan in the bank to get enough money.
175,"Når du låner penger i banken, får du gield.","When you borrow money in the bank, you get Gield."
176,Du far en bestemt tid å betale lånet tilbake på. ,You get a certain time to pay the loan back on.
177,Denne tida kaller vi avdragstid. ,This time we call a repayment time.
178,"I denne perioden betaler du tilbake en fast sum, et avdrag.","During this period you repay a fixed sum, a installment."
179,Du betaler avdrag hver maned.,You pay installments each month.
180,Rente er det du må betale til banken i tillegg til lånet.,Interest is what you have to pay to the bank in addition to the loan.
181,Eksempel: Du låner 300 000. ,"Example: You borrow 300,000."
182,Renta er 4% per år.,The interest rate is 4% per year.
183,Du må betale 300 000x4:100=12000 kroner i renter det første året.,"You have to pay 300,000x4: 100 = NOK 12,000 in interest in the first year."
184,Det er lurt å sette opp et budsjett. ,It is wise to set up a budget.
185,Det er en liste du lager over hvor mye penger du bruker til mat og andre ting. ,There is a list you make about how much money you spend for food and other things.
186,På den måten får du bedre oversikt over økonomien.,That way you get a better overview of the economy.
187,Egenkapital er de pengene du har spart selv.,Equity is the money you saved yourself.
188,visning - bud,viewing - bid
189,Du går på visning når du ser på en bolig som er til salgs.,You go to view when you look at a home for sale.
190,Å legge inn et bud betyr at du leverer inn et skriftlig bud (som oftest elektronisk) til megleren der du forteller hvor mye du vil betale for boligen.,Posting a bid means that you submit a written bid (usually electronically) to the broker where you tell how much you want to pay for the home.
191,Du må også informere om hva slags låneavtale du har med banken.,You must also inform about what kind of loan agreement you have with the bank.
192,Budet ditt er bindende. ,Your bid is binding.
193,Det vil si at du må kjøpe boligen his eieren aksepterer budet ditt. ,"That is, you have to buy the home his owner accepts your bid."
194,"Ofte er mange andre interessert i boligen, slik at du må øke budet for å væe med på budrunden. ","Often many others are interested in the home, so you have to increase the bid to wet the bidding round."
195,Det skjer vanligvis via sms eller e-post.,It usually happens via SMS or e-mail.
196,fellesgjeld - felleskostnader,joint debt - joint costs
197,Fellesgjeld er den gjelda borettslaget eller sameiet har. ,Joint debt is the debt housing team or the condominium.
198,I boligannonsene står det hvilken andel hver beboer har av denne gjelda. ,The housing ads state what proportion of each resident has of this debt.
199,Beboerne betaler som regel dette gjennom felleskostnadene.,The residents usually pay this through the joint costs.
200,"Felleskostnader/fellesutgifter (ofte kalt husleie) er månedlige utgifter, og kan også inkludere andel av fellesutgifter til strøm, trappevask, forsikringer på bygg og andre ting.","Joint costs/joint expenses (often called rent) are monthly expenses, and may also include the proportion of joint expenses for electricity, stair wash, insurance on buildings and other things."
201,"Et kredittkort er et bankkort som gir deg kreditt, eller et lån. ","A credit card is a bank card that gives you credit, or a loan."
202,"Det betyr at du handler med bankens penger, ikke dine egne. ","That means you shop with the bank's money, not your own."
203,"Etter cirka en måned får du en regning, og du kan velge om du vil betale hele beløpet tilbake med en gang eller dele det opp over flere måneder. ","After about a month you get a bill, and you can choose whether you want to repay the full amount right away or divide it over several months."
204,"Du må imidlertid betale høye renter av lånet, mye høyere enn det vanlige banklån kan tilby. ","However, you have to pay high interest rates of the loan, much higher than the usual bank loans can offer."
205,Det kan derfor bli dyrt hvis du må vente lenge med å betale tilbake.,It can therefore be expensive if you have to wait a long time to pay back.
