,NO,EN
55,"Ta gjerne kontakt hvis du lurer på noe, eller du kan stikke innom Holdeplassen og ta en prat med Gunnar.","Feel free to contact us if you are wondering something, or you can stop at the stop and have a chat with Gunnar."
56,Det er alltid spennende å få en ny medarbeider. ,It is always exciting to get a new employee.
57,Jeg synes det kan være vanskelig å vite om en medarbeider passer i jobben når jeg leser søknaden. ,I think it can be difficult to know if an employee fits the job when I read the application.
58,De fleste skriver nokså like og nokså upersonlige søknader. ,Most write quite similar and quite impersonal applications.
59,"Hvis det står i annonsen at søkeren skal være fleksibel og flink til å samarbeide, så skriver de fleste søkerne akkurat det.","If the ad states that the applicant should be flexible and good at cooperating, then most applicants write just that."
60,Derfor er intervjuet så viktig. ,That's why the interview is so important.
61,Vanligvis vet jeg etter noen minutters samtale om en søker passer til jobben. ,"Usually, after a few minutes of conversation, I know if an applicant fits the job."
62,"Men det er også viktig å se hvordan en nyansatt fungerer i jobben, så det er bra å ha en prøvetid. ","But it is also important to see how a new employee works in the job, so it is good to have a probation."
63,Da kan jeg se hvordan han eller hun passer i praksis.,Then I can see how he or she fits in practice.
64,Jeg legger naturligvis mest vekt på at medarbeiderne mine er høflige og hyggelige mot kundene. ,"Of course, I place the most emphasis on my employees being polite and pleasant to the customers."
65,Det har mye å si for miljøet.,It has a lot to say for the environment.
66,"Ansatte som ikke virker interessert, og som overser kundene, kan jeg ikke ha.","Employees who do not seem interested and who overlook the customers, I cannot have."
67,Det er også interessant å se hva de gjør når det er litt rolig på jobben. ,It is also interesting to see what they do when it is a little quiet at work.
68,Ser de hva som må gjøres?,Do they see what needs to be done?
69,Noen gjør ingenting uten at jeg ber dem om det. ,Some do nothing without asking them.
70,De står og stirrer på mobilen sin og ser ikkeopp før noen snakker til dem.,They stand staring at their cellphone and don't see until anyone talks to them.
71,Andre ser hva som må gjøres.,Others see what needs to be done.
72,"De rydder og vasker bordene, tar ut av oppvaskmaskinen, hjelper en kollega, eller gjør noe annet som det er behov for. ","They clear and wash the tables, take out of the dishwasher, help a colleague, or do something else that is needed."
73,Kort sagt: De tar initiativ og viser ansvar for arbeidsplassen sin. ,In short: They take the initiative and show responsibility for their workplace.
74,Jeg håper virkelig at det er en slik person blant søkerne.,I really hope that there is such a person among the applicants.
75,NY PÅ JOBBEN,New at work
76,Medarbeidersamtale,Employee
77,Darian liker jobben i barnehagen. ,Darian likes the job in kindergarten.
78,"Han får lett kontakt med barna, og han føler at han gjør en god jobb. ","He makes easy contact with the children, and he feels that he is doing a good job."
79,Men nå har styreren bedt ham om å komme til en medarbeidersamtale.,But now the manager has asked him to come to an employee interview.
80,"Hun vil snakke med ham om hvordan han trives på jobben, og om hvilke planer han har. ",She wants to talk to him about how he thrives at work and about what plans he has.
81,Darian blir nervøs: Har han gjort noe galt? Er de ikke fornøyd med ham?,Darian gets nervous: Has he done something wrong?Aren't they happy with him?
82,Men en kollega forteller at det er vanlig med en medarbeidersamtale hvert år. ,But a colleague says that an employee interview is common every year.
83,"Da kan man snakke om hva man synes går bra på jobben, og hva som kan forandres for at det skal bli bedre.","Then you can talk about what you think is going well at work, and what can change to improve it."
84,Styreren hilser hyggelig på ham og forteller at de er veldig fornøyde med ham. ,The director greets him and says that they are very happy with him.
85,Hun håper at han trives. Darian slapper av litt og forteller at han liker seg veldig godt. ,She hopes he thrives.Darian relaxes a bit and says he likes himself very well.
86,"Kollegaene er hyggelige og hjelpsomme, og han synes det er moro å aktivisere ungene.","The colleagues are nice and helpful, and he thinks it is fun to activate the kids."
87,Det er veldig morsomt å se hva du har fått til med barna. ,It is very fun to see what you have got with the kids.
88,"Også barn som er litt stille og forsiktige, har du fått til å synge og danse. ","Also, children who are a little quiet and careful, you have got to sing and dance."
89,Det er bra. Det er veldig moro for meg også.,It is good.It's very fun for me too.
90,Jeg føler at det går bra.,I feel it's going well.
91,Det gjør det absolutt. ,It certainly does.
92,"Vi synes at du passer godt i jobben, og vi vil gjerne at du skal fortsette her hos oss når vikariatet er slutt. ","We think you fit well at work, and we would like you to continue here with us when the temporary worker is over."
93,Er det aktuelt for deg?,Is it relevant to you?
94,Hva slags planer har du selv?,What kind of plans do you have yourself?
95,Foreldrene mine mener at jeg bør ta videregående.,My parents think I should take high school.
96,"Jeg lurer på å søke på Musikk, dans og drama. ","I wonder about searching for music, dance and drama."
97,Men på den andre siden liker jeg meg mye bedre i denne jobben enn jeg gjorde på skolen.,"But on the other hand, I like much better in this job than I did at school."
98,Det høres jo ut som om det er et utdanningsprogram som passer for deg. ,"After all, it sounds like it's an educational program that is right for you."
99,Det er bra med mer utdanning i det du har lyst til å arbeide med.,It is good with more education in what you want to work with.
100,Men som sagt er du hjertelig velkommen til å fortsette hos oss hvis det er det du vil.,"But as I said, you are most welcome to continue with us if that's what you want."
101,Sara trenger praksis,Sara needs practice
102,"Jeg er ferdig med utdanningen, og jeg jobber na som farmasøyt pa sykehuset. ","I finish my education, and I work as a pharmacist at the hospital."
103,"Arbeidsdagen er spennende og variert, og jeg har mye kontakt både med sykepleiere og leger, og med pasienter.","The working day is exciting and varied, and I have a lot of contact with both nurses and doctors, and with patients."
104,"Jeg trives veldig godt her pa sykehuset, men jeg har ikke glemt planene mine om å reise ut i verden og arbeide. ","I like it very well here at the hospital, but I have not forgotten my plans to go out into the world and work."
105,"I de store flyktningleirene er det stort behov for medisinsk help, og jeg har lyst til å hjelpe. ","In the major refugee camps, there is a great need for medical HELP, and I want to help."
106,"Men før jeg kan fa en sånn jobb, ma jeg ha praksis fra sykehus, og det får jeg nå.","But before I can get such a job, I have to have practice from hospitals, and I get that now."
107,"Jeg er ofte hjemme pa besøk, men jeg snakker ikke sa mye om planene mine. ","I'm often at home on visits, but I don't talk much about my plans."
108,Det er best for husfreden.,It is best for house peace.
109,"Både mamma og pappa kommer stadig med sma kommentarer om at de haper jeg snart får familie, og at jeg skal fortsette å bo i byen. ","Both mom and dad are constantly coming with small comments that they are hoping I will soon have family, and that I will continue to live in the city."
110,Og hvem vet? Kanskje får de ønsket sitt oppfylt en dag. ,And who knows?Maybe they will fulfill their wish one day.
111,"Det er jo én her i Steinvik som jeg liker veldig godt, men det har jeg foreløpig ikke sagt noe om til foreldrene mine.","There is one here in Steinvik that I like very much, but I have not yet said anything to my parents."
112,"Hos oss gar det bra, og nå er vi i jobb alle sammen.","With us it goes well, and now we are all at work."
113,Darian liker seg godt i den nye jobben sin i barnehagen.,Darian likes her new job in kindergarten.
114,"Han trives med det han gor, og han er en mye gladere gutt nå enn da han gikk på skolen. ","He thrives on what he gorges, and he's a much happier boy now than when he went to school."
115,Men han har heldig vis ikke gitt opp tanken pa å gjøre ferdig videregaende skole. ,But he has not given up the idea of completing the secondary school.
116,"I forrige uke snakket han med rådgiveren pa skolen, og hun fortalte at en skole i nabokommunen har et utdanningsprogram som heter Musikk, dans og drama. ","Last week he spoke to the advisor at the school, and she said that a school in the neighboring municipality has an educational program called music, dance and drama."
117,"Det må vare midt i blinken for ham, og jeg haper at han kommer til å søke.","It must last in the blink of an eye, and I hope he is going to search."
118,"Sara har fått ny jobb pa et sykehus, og jeg har inntrykk av at hun trives veldig godt. ","Sara has got a new job in a hospital, and I have the impression that she enjoys very well."
119,"Deter lenge siden hun har nevnt planene om å jobbe i utlandet, og jeg håper det betyr at hun har ombestemt seg. ","It is a long time since she has mentioned the plans to work abroad, and I hope that means she has changed her mind."
120,"Jeg vet deter egoistisk av meg, men jeg vil helst ikke at hun skal reise. ","I know that selfishly of me, but I'd rather not travel."
121,"Jeg håper hun treffer en snill lege pa jobben, gifter seg og slår seg ned her i nærheten.","I hope she meets a kind doctor at the job, marries and settles down here nearby."
122,Jeg vil jo gjerne ha barn og barnebarn i nærheten!,I would like to have children and grandchildren nearby!
123,"Og jeg? Drommen min har endelig gatt i oppfyllelse, og jeg har fått et vikariat som journalist. ","And I?My dream has finally come true, and I have been given a substitute as a journalist."
124,"Deter i den lokale radio- og tv-stasjonen, og jeg begynte for to uker siden. ","This in the local radio and TV station, and I started two weeks ago."
125,"Den viktigste oppgaven min er å fortelle om kulturelle aktiviteter i nærmiljøet, for eksempel utstillinger og konserter. ","My most important task is to tell about cultural activities in the local area, such as exhibitions and concerts."
126,"Darian vet heldigvis mye om hva de unge er opptatt av, og han har lovet å helpe meg med ideer og kontakter.","Fortunately, Darian knows a lot about what the young people are concerned about, and he has promised to help me with ideas and contacts."
127,Jeg kjente ingen på jobben da jeg begynte.,I knew no one at work when I started.
128,Redaktøren viste meg rundt o presenterte meg for de andre kollegaene. ,The editor showed me around O presented me to the other colleagues.
129,"Jeg håndhilste pa alle, og vi sa navnene våre. De fleste sa bare fornavnet, som «Hei! Anders. Hyggelig!». ","I greeted everyone, and we said our names.Most just said the first name, like ""Hi!Anders.Nice!""."
130,"Nå hilser vi på hverandre når vi treffes, og litt etter litt blir vi bedre kjent.","Now we greet each other when we meet, and little by little we become better acquainted."
131,Den første dagen på jobb skulle vi lage en reportasje om en konsert med et berømt band som skulle spille i Steinvik.,The first day at work we were to make a report on a concert with a famous band to play in Steinvik.
132,"Det var stor interesse for konserten, og mange stilte seg i kø kvelden for billettsalget startet, for avare sikre pa å få billetter. ","There was great interest in the concert, and many stood in line the evening for ticket sales started, for Avare to get tickets."
133,"På morgenmotet spurte redaktoren meg: - Pari, kan du intervjue noen av dem som har sittet hele natta i kø?","In the morning, the editor asked me: - Pari, can you interview some of those who have been in line all night?"
134,"Jeg lurte pa om han spurte slik fordi han var i tvil om jeg kunne klare det, men det gikk opp for meg at det var en pen mate å gi meg en beskjed pa. ","I was wondering if he asked that way because he was in doubt whether I could do it, but it dawned on me that it was a pretty way to give me a message."
135,Han deler ut oppgaver pa den måten. ,He distributes tasks in that way.
136,"Men han er også åpen for andre ideer og forslag, og jeg har lagt merke til at ingen er redde for å si sin mening eller komme med forslag. ","But he is also open to other ideas and suggestions, and I have noticed that no one is afraid to say their opinion or make suggestions."
137,"De første dagene ventet jeg på å få beskjed om hva jeg skulle gore, men jeg ser at det ogsa gar bra å ta initiativ selv. ","The first few days I was waiting to be told what to do, but I see that it is also good to take the initiative myself."
138,Deter mye morsommere også.,It is a lot more fun too.
139,Jeg vet jo at deter noksa uformelle forhold pa mange arbeids- plasser. ,I know that there is some informal conditions in many work places.
140,Likevel er det rart for meg å bruke fornavn på redaktøren.,"Still, it is strange for me to use first names on the editor."
141,"Men alle de andre gjør det, sa jeg blir vel vant til det.","But all the others do, said I get used to it."
142,Jeg har fremdeles litt å lare bade nar det gjelder uttrykks- måter og kultur pa arbeidsplassen. ,I still have a bit to learn both when it comes to expression and culture in the workplace.
143,Jeg tenkte først at det var best å prøve å skjule det hvis det var noe jeg ikke forsto. ,At first I thought it was best to try to hide it if it was something I didn't understand.
144,"Men en hyggelig kollega sa at jeg bare matte si fra hvis jeg lurte pa noe, og det er godt å vite at det er helt ok å spørre.","But a nice colleague said that I just mathed say if I was wondering something, and it's good to know it's perfectly ok to ask."
145,ET REGULERT ARBEIDSLIV,A regulated working life
146,Rettigheter og plikter,Rights and duties
147,Arbeidslivet her i landet er regulert av lover. ,Working life in this country is regulated by laws.
148,"Både arbeidsgivere og arbeidstakere har rettigheter og plikter, og et godt samarbeid mellom dem bidrar til et tryggere arbeidsliv.","Both employers and employees have rights and obligations, and good cooperation between them contributes to a safer working life."
149,Arbeidstakeren og arbeidsgiveren skal skrive en arbeidsavtale. ,The employee and the employer shall sign a employment agreement.
150,"I avtalen skal det vare opplysninger om når arbeidsforholdet begynner og slutter, om lønn og arbeidstid, om ferie og feriepenger og andre forhold. ","In the agreement, information should be provided when the employment relationship begins and quits, about wages and working hours, about vacation and holiday pay and other conditions."
151,"Den normale arbeidstida er 37,5 timer i uka. ",Normal working hours are 37.5 hours a week.
152,"Arbeidstakeren får lønn utbetalt på en fast dag i måneden, og arbeidsgiveren trekker skatt av lønna før den utbetales. ","The employee receives wages paid on a fixed day of the month, and the employer withdraws tax on the salary before it is paid."
153,Deter regler for fritid og ferie.,There are rules for leisure and vacation.
154,"Mange av lovene som regulerer arbeidslivet, er samlet i arbeidsmiljøloven. ",Many of the laws that regulate working life are compiled in the Working Environment Act.
155,Loven skal sikre arbeidstakerne trygge forhold på arbeidsplassen.,The law must ensure workers safe conditions in the workplace.
156,Sykefraver og fri fra jobben,Sick leave and free from work
157,"Du har rett til å vare borte fra jobben hvis du eller barna dine er syke, men du ma melde fra til arbeidsgiveren. ","You have the right to last away from work if you or your children are ill, but you must notify the employer."
158,"Dersom sykefravret varer mer enn tre dager, må du ha legeattest. ","If sick leave lasts more than three days, you must have a medical certificate."
159,"Hvis du trenger å vare borte av andre grunner, ma du søke om permisjon. ","If you need to last for other reasons, you must apply for leave."
160,Du kan søke om permisjon hvis du for eksempel skal flytte eller fire en religiøs festdag. ,"You can apply for leave if, for example, you are going to move or four a religious feast day."
161,Deter arbeidsgiveren som bestemmer om du får fri.,It is the employer who decides whether you are free.
162,Fagforeninger og tillitsvalgte,Trade unions and union representatives
163,Ale arbeidstakere har rett til å organisere seg i en fagforening. ,Ale employees have the right to organize themselves in a trade union.
164,Fagforeningen arbeider for arbeidstakernes interesser. ,The trade union works for the interests of the employees.
165,Blant annet kjemper de for bedre lønn og gode arbeidsavtaler.,"Among other things, they are fighting for better salaries and good employment contracts."
166,på mange arbeidsplasser har man en tariffavtale.,In many workplaces you have a collective bargaining agreement.
167,En tariffavtale er en avtale mellom en fagforening og en arbeidsgiverforening eller en arbeidsgiver. ,A collective bargaining agreement is an agreement between a trade union and an employer association or an employer.
168,Avalen regulerer lønn og arbeidsforhold. ,The aval regulates wages and working conditions.
169,"Ansatte med tariffavtale kan få flere rettigheter enn det arbeidsmiljoloven krever, for eksempel lengre ferie og kortere arbeidsuke.","Employees with a collective bargaining agreement can get more rights than the Work Environment Act requires, such as longer holidays and shorter work week."
170,En tillitsvalgt skal passe på at tariffavtalen blir fulgt på arbeidsplassen.,A union representative must ensure that the collective bargaining agreement is followed in the workplace.
171,"En som er tillitsvalgt, er valgt av de fagorganiserte og er deres kontakt med ledelsen i bedriften. ",One who is elected representative is elected by the trade unions and is their contact with the management of the company.
172,Den tillitsvalgte kan også hjelpe medlemmene i vanskelige situasjoner på arbeidsplassen.,The union representative can also help members in difficult situations in the workplace.
173,ARBEIDSINNVANDRERE,Labor immigrants
174,"Tina Shagufta Munir Kornmo er lege, forfatter og politiker. ","Tina Shagufta Munir Kornmo is a doctor, writer and politician."
175,Hun er født i Pakistan og kom til Norge som barn.,She was born in Pakistan and came to Norway as a child.
176,Her opplevde hun hordan det var å vokse opp med ganske ulike forventninger fra familien og fra samfunnet. ,Here she experienced the horse it was growing up with quite different expectations from the family and from society.
177,Hun måtte balansere mellom to kulturer og kjempet hard for sin selvstendighet. ,She had to balance two cultures and fought hard for her independence.
178,Etter hvert klarte hun å få foreldrene til å forstå hva som var viktig og riktig for henne. ,"Eventually, she managed to get her parents to understand what was important and right for her."
179,"De valgte å lytte til henne, og deter hun takknemlig for.","They chose to listen to her, and she was grateful for."
180,Hun er opptatt av hvordan innvandrere skal finne sin plass i det norske samfunnet. ,She is concerned about how immigrants will find their place in Norwegian society.
181,"Derfor var hun med på å starte organisasjonen LIM (Likestilling, Integrering, Mangold), og hun var leder for organisasjonen i flere år.","Therefore, she helped to start the organization LIM (equality, integration, Mangold), and she was the leader of the organization for several years."
182,I boka Norsk nok forteller hun om oppveksten sin iet flerkulturelt miljø. ,"In the book Norsk NOK, she talks about her upbringing in a multicultural environment."
183,I utdraget under forteller hun om foreldrenes erfaringer i det norske arbeidsmarkedet. ,"In the excerpt below, she talks about the parents' experiences in the Norwegian labor market."
184,"De kom til Norge tidlig på 1970-tallet og begynte å jobbe, noen ganger i flere jobber samtidig. ","They came to Norway in the early 1970s and started working, sometimes in several jobs at the same time."
185,Som voksen har hun fått stor respekt for den innsatsen foreldrene hennes har gjort.,"As an adult, she has gained great respect for the effort her parents made."
186,«Kunnskapen om sykmeldingsordningen var mangelfull. ,“The knowledge of the sick leave scheme was deficient.
187,"De visste bare at om en var syk, ble det ikke trekk i lønnen. ","They just knew that if one was sick, there were no deductions in the salary."
188,Og for min far var det en merkverdig opplevelse å vare syk i et fremmed land og få betalt for den dagen. ,"And for my father, it was a remarkable experience to last ill in a foreign country and get paid for that day."
189,"Han snakker fortsatt om det den dag i dag, hva han følte den første dagen han opplevde det. ","He still talks about it to this day, what he felt the first day he experienced it."
190,"Han hadde stor beundring for at et samfunn kunne organisere seg på en slik måte at man tok vare på arbeiderne, også når de var syke. ","He had great admiration for a society being able to organize in such a way that they took care of the workers, even when they were ill."
191,Han hadde nok regnet med trekk i lonn. (...),He had probably expected features in Lonn.(...)
192,"Da min mor også ble sykemeldt og var på vei inn i uforetrygd, tok jeg noen samtaler med henne og mine søsken.","When my mother also got sick and was on her way into unprecicted, I took some conversations with her and my siblings."
193,Vi motiverte henne til å motstå fristelsen til å bli hundre prosent ufør selv om hun var gammel og klar for en pensjonisttilverelse allerede da hun var i slutten av 50-årene.,We motivated her to withstand the temptation to become a hundred percent disabled even though she was old and ready for a retirement order already when she was in her late 50s.
194,"Hun trengte den fysiske aktiviteten det var å gå til T-banen, møte et arbeidsfellesskap, pleievennskap på arbeidsplassen, kjenne på stoltheten over at lønnen på egen konto kom av eget arbeid. ","She needed the physical activity of going to the subway, meeting a working community, nursing friends in the workplace, knowing the pride that the salary in her own account came from her own work."
195,Det gjorde at hun kunne spare til hva hun ville. ,It allowed her to save for what she wanted.
196,Hun var ikke avhengig av å sporre far om penger.,She did not depend on tracing father about money.
197,"Hun hadde ikke store utdannelsen fra Pakistan, for her ble brødrene hennes prioritert. ","She did not have much education from Pakistan, because here her brothers were prioritized."
198,"Og hun ble giftet bort som 16-åring, for hun rakk å bli voksen. ","And she was married as a 16-year-old, because she managed to grow up."
199,"Hun motte mye motstand fordi hun var kvinne, men heldigvis fikk hun stotte av min far. ","She countered a lot of resistance because she was a woman, but fortunately she got stotted by my father."
200,"Han var grunnen til at hun gradvis ble en moderne, arbeidende kvinne allerede fra 1974-75.","He was why she gradually became a modern, working woman from 1974-75."
201,Den korte utdanningen begrenset arbeidsmulighetene hennes. ,Her short education limited her work opportunities.
202,Hun startet som nevnt med à brodere for en forretning i Waldemar Thranes gate. ,"As mentioned, she started with an embroider for a business in Waldemar Thranes gate."
203,"Etter det jobbet hun like steder som vaskehjelp, senere betegnet som rengjoringsassistent og renholdsarbeider.","After that, she worked just as places as laundry help, later referred to as a cleaning assistant and cleaning worker."
204,"Til tider hadde hun opptil tre vaskejobber, og vaskejobbene om kvelden ble familieprosjekter hvor flest mulig av oss som var tilgjengelig, deltok. ","At times she had up to three wash jobs, and the wash jobs in the evening became family projects where as many of us as possible were available."
205,"Senere, da mor ble flinkere i norsk, fikk hun mulighet til àjobbe som morsmålslærer i Grønland barnehage, der man i dag finner serveringsstedet Asylet. ","Later, when mother became better in Norwegian, she was given the opportunity to go as a mother tongue teacher in Greenland kindergarten, where today the serving site is found asylum."
206,"Der blomstret hun blant sine norske kollegaer, og hun larte enda mer norsk og enda mer om det norske samfunnet. ","There, she flourished among her Norwegian colleagues, and she largely largely largely had Norwegian and even more about Norwegian society."
207,I voksen alder har jeg reflektert over hvordan livet på merkelig vis endret seg. ,"In adulthood, I have reflected on how life strangely changed."
208,"Som ung var jeg flau over at foreldrene mine ikke haddeutdannelse, at de bare vasket. ","As a young man, I was embarrassed that my parents did not have education, that they just washed."
209,Som voksen endret dette seg til beundring for alt de filk til. ,"As an adult, this changed to admiration for all they file."
210,Og serlig imponerende er det når en tenker på at mor er en kvinne fra et patriarkalsk samfunn hvor mannen bestemmer det meste.»,And it is very impressive when one thinks that mother is a woman from a patriarchal society where the man decides most. ”
211,UTFORDRINGER I ARBEIDSLIVET,Challenges in working life
212,Svart arbeid,Black work
213,Svart arbeid er en utfordring for arbeidslivet. ,Black work is a challenge for working life.
214,Å arbeide svart vil si at man ikke betaler skatt av det man tjener.,Working black means that you do not pay taxes on what you earn.
215,Det er ulovlig og kan straffes med boter eller fengsel.,It is illegal and can be punished with bots or jail.
216,"Nar noen ikke betaler skatt, får samfunnet mindre penger å bruke til velferd. ","When someone does not pay taxes, society gets less money to spend for welfare."
217,Å arbeide svart er også et problem for arbeidstakeren. ,Working black is also a problem for the employee.
218,"Når arbeidsgiveren ikke trekker skatt før lønna blir utbetalt, får ikke arbeidstakeren de samme rettighetene som andre har, for eksempel sykepenger, feriepenger eller pensjonsopptjening.","When the employer does not withdraw tax before the salary is paid, the employee does not receive the same rights as others have, such as sick pay, holiday allowance or pension earning."
219,Frilansarbeid,Freelance work
220,"I det siste har det vokst fram et mindre regulert arbeidsliv med arbeidstakere som ikke er ansatt i et firma, men jobber frilans. ","Lately, a less regulated working life has emerged with workers who are not employed by a company, but work freelance."
221,"De som jobber pa denne maten, har stor frihet til å jobbe nar de vil. ",Those who work on this food have great freedom to work when they want.
222,På den andre siden er det ikke sikkert de får nok arbeid pa den måten. ,"On the other hand, they may not get enough work in that way."
223,De har heller ikke de samme rettighetene og den samme tryggheten som vanlige arbeidstakere har. ,Nor do they have the same rights and the same security as regular workers.
