,NO,EN
45,"Ny teknologi gjør produksjonen mer effektiv, og det letes etter olje på stadig nye steder.","New technology makes production more efficient, and oil is being searched in constantly new places."
46,Produksjonen av gass blir etter hvert viktigere enn produksjonen av olje. ,Gas production gradually becomes more important than the production of oil.
47,"Gassen selges til land i Europa, Nord-Amerika og Asia. ","The gas is sold to land in Europe, North America and Asia."
48,Norsk gasseksport dekker omtrent en femdel av det europeiske gassforbruket. ,Norwegian gas export covers about a fifth of European gas consumption.
49,Størstedelen av eksporten går til Tyskland og Frankrike. ,The majority of exports go to Germany and France.
50,Gassen brukes blant annet til produksjon av kraft i industrien og til oppvarming av boliger.,"The gas is used, among other things, for the production of power in the industry and for heating housing."
51,Når startet oljeletingen?,When did the oil exploration started?
52,Hvorfor måtte Norge be om utenlandsk hjelp?,Why did Norway need to ask for foreign help?
53,Hvor lang tid gikk det før det ble gjort funn?,How long did you find before finding?
54,Hva er Ekofisk?,What is Ekofisk?
55,Hvor mange land eksporterer mer olje enn Norge?,How many countries export more oil than Norway?
56,Hvor mange land eksporterer mer gass enn Norge?,How many countries export more gas than Norway?
57,Fortell hverandre om viktige næringsveier i andre land dere kjenner.,Tell each other about important trade routes in other countries you know.
58,Hva eksporterer landene? ,What exports the countries?
59,Hvilke land eksporterer de til?,What countries do they export to?
60,Inntektene fra oljen,The revenue from the oil
61,Tidlig i 1960-årene tilbød Phillips Petroleum visstnok 160 000 dollar i måneden for å få retten til å lete etter olje utenfor den norske kysten. ,"In the early 1960s, Phillips Petroleum probably offered $ 160,000 a month to get the right to look for oil off the Norwegian coast."
62,"Myndighetene forsto raskt at de ikke måtte gi fra seg rettigheter til ett selskap, men måtte beholde kontrollen selv.","The authorities quickly realized that they did not have to give up rights to one company, but had to keep control themselves."
63,"I begynnelsen var det bare utenlandske selskaper som hadde teknologi til å lete, men myndighetene sørget for avtaler som etter hvert ga gode inntekter til Norge. ","Initially, only foreign companies had technology to look, but the authorities provided agreements that eventually generated good revenues to Norway."
64,Snart ble også norsk ekspertise bygd opp.,"Soon, Norwegian expertise was also built up."
65,"Staten opprettet et eget oljeselskap, Statoil, og i tillegg kjøpte staten aksjer i andre selskaper, som Norsk Hydro og Saga Petroleum. ","The state established its own oil company, Statoil, and in addition the state bought shares in other companies, such as Norsk Hydro and Saga Petroleum."
66,"Staten bestemmer også hvor leting kan foregå, og hvem som får tillatelse eller konsesjon til å lete på et nytt sted.",The state also decides where exploration can take place and who gets permission or a license to look in a new place.
67,"De store inntektene fra petroleumsindustrien plasseres i et eget fond: Statens pensjonsfond, utland, populært kalt Oljefondet.","The large revenues from the petroleum industry are placed in a separate fund: the Government Pension Fund, Global, popularly called the Oil Fund."
68,"Dette fondet investerer pengene i utlandet, og det er etter hvert blitt verdens største statlige fond. ","This fund invests the money abroad, and it has gradually become the world's largest state fund."
69,Inntektene fra petroleums-industrien skal altså i hovedsak brukes i framtida. ,The proceeds from the petroleum industry will therefore be used mainly in the future.
70,Staten kan imidlertid bruke inntil 4 % av fondets verdi i statsbudsjettet.,"However, the state can use up to 4 % of the fund's value in the state budget."
71,Handlingsregelen kaller politikerne dette. ,The rule of action calls the politicians this.
72,Det er stor enighet blant politikerne om at det er viktig for norsk økonomi å holde fast ved handlingsregelen.,There is great agreement among the politicians that it is important for the Norwegian economy to stick to the rule of action.
73,Norges mest lønnsomme innvandrer?,Norway's most profitable immigrant?
74,"En irakisk geolog, Farouk Al-Kasim, har en god del av æren for at Norge har klart å forvalte oljefunnene på en god måte for landet.","An Iraqi geologist, Farouk al-Kasim, has a good part of the credit for Norway being able to manage oil discoveries in a good way for the country."
75,"Farouk Al-Kasim studerte geologi i London, der han også traff sin norske kone. ","Farouk al-Kasim studied geology in London, where he also met his Norwegian wife."
76,Etter studiene arbeidet han i mange år som oljegeolog i Irak.,"After his studies, he worked for many years as an oil geologist in Iraq."
77,"Familien hadde imidlertid en syk sønn som kunne få behandling her i landet, og i 1968 kom familien til Norge.","However, the family had a sick son who could receive treatment in this country, and in 1968 the family came to Norway."
78,"Da Al-Kasim kom hit, var oljenæringen akkurat i sin begynnelse, og irakeren hadde verdifull erfaring med seg. ","When Al-Kasim came here, the oil industry was just in its beginning, and the Iraqi had valuable experience with him."
79,Han fikk derfor jobb som rådgiver for Industridepartementet.,He therefore got a job as an adviser to the Ministry of Industry.
80,Der arbeidet han med å utvikle reglene for olje- og gass-produksjonen. ,There he worked on developing the rules for oil and gas production.
81,"Da Oljedirektoratet ble dannet, fikk han ansvar for ressursforvaltningen og bidro sterkt til at den norske staten fikk god kontroll over oljevirksomheten.","When the Norwegian Petroleum Directorate was formed, he was given responsibility for the resource management and contributed greatly to the Norwegian state getting good control over the oil business."
82,Baksiden av medaljen.,The back of the medal.
83,Olje- og gassproduksjonen er ikke uten problemer. ,Oil and gas production is not without any problems.
84,"Den fører til inngrep i naturen, og bruken av olje og gass som energikilder fører med seg forurensning, blant annet utslipp av CO2. ","It leads to intervention in nature, and the use of oil and gas as energy sources brings with it pollution, including CO2 emissions."
85,Ifølge klimaforskere må 2/5 av verdens kjente olje- og gassressurser bli liggende under bakken.,"According to climate scientists, 2/5 of the world's well-known oil and gas resources must be under the ground."
86,"Dersom utvinningen av olje og gass fortsetter som nå, vil det være umulig å hindre store klimaendringer. ","If the extraction of oil and gas continues as now, it will be impossible to prevent major climate change."
87,En temperaturøkning på et par grader her i landet skremmer kanskje ikke så mye. ,A temperature increase in a few degrees in this country may not scare much.
88,Men klimaeksperter er enige om at konsekvensene for jorda kan være katastrofale.,But climate experts agree that the consequences for the soil can be disastrous.
89,"""La olja ligge!"" er blitt et slagord for miljøvernere her i landet.","""Let the oil be!""has become a slogan for environmentalists in this country."
90,"Dersom ikke Norge trapper ned på oljeutvinningen, kan vi heller ikke vente at andre land gjør det.","If Norway does not step down on oil recovery, we also cannot expect other countries to do so."
91,I tillegg er det viktig å ikke satse alt på oljeindustrien. ,"In addition, it is important not to invest everything in the oil industry."
92,Verken olje eller gass er fornybare ressurser. ,Neither oil nor gas are renewable resources.
93,De vil ta slutt om ikke så lenge.,They will end in no time.
94,Da er det viktig å ha flere bein å stå på. ,Then it is important to have more legs to stand on.
95,"Vi må ta vare på andre typer industri som Norge har, og det må utvikles nye, moderne næringsveier.","We must take care of other types of industry such as Norway, and new, modern trade routes must be developed."
96,Mange mener at det vil være bra å satse på utvikling av alternative energikilder.,Many believe that it will be good to focus on the development of alternative energy sources.
97,FNs klimapanel består av 800 forskere og andre eksperter fra rundt 85 land. ,The UN Climate Panel consists of 800 researchers and other experts from around 85 countries.
98,"De gjennomfører ikke egen forskning, men samler og systematiserer all kunnskap som finnes om klimaendringer. ","They do not conduct their own research, but collect and systematize all knowledge that exists about climate change."
99,I tillegg til disse 800 bidrar mange eksperter til arbeidet når klimapanelet skal lage sine rapporter. ,"In addition to these 800, many experts contribute to the work when the climate panel is to make its reports."
100,Rapportene tar for seg utviklingen av klimaet og legger fram forslag til tiltak for å motvirke klimaendringene.,The reports deal with the development of the climate and submit proposals for measures to counter climate change.
101,"Nasjonal talskvinne for Miljøpartiet De Grønne, Hanna E. Marcussen, sier at De Grønne ønsker en offensiv satsing på fornybare energikilder, som for eksempel havvind og solkraft. ","The national spokeswoman for the Green Party, Hanna E. Marcussen, says that the Greens want an offensive commitment to renewable energy sources, such as offshore wind and solar power."
102,I dag investeres det 200 milliarder i oljesektoren. ,"Today, 200 billion is invested in the oil sector."
103,Vi vil flytte penger og arbeidskraft over til de næringene som våre barn og barnebarn skal leve av i framtida. ,We want to move money and labor to the industries that our children and grandchildren will live off in the future.
104,Det er den eneste politikken som er ansvarlig.,It is the only policy that is responsible.
105,Hva er argumentene for at Norge skal satse mindre på olje og gass i framtida?,What are the arguments for Norway to invest less in oil and gas in the future?
106,Hva er forskjellen på olje og vindkraft som energikilder?,What is the difference between oil and wind power as energy sources?
107,Massedød rammer humler og bier,Mass death strikes hops and bees
108,Skyldes det forurensning eller temperaturendringer? ,Is it due to pollution or temperature changes?
109,Eller er det sprøytemidlene som brukes i landbruket? ,Or are it the pesticides used in agriculture?
110,Forskerne blir ikke enige om årsakene til at flere humle- og biearter trues av utryddelse.,The researchers do not agree on the reasons why more hops and bee species are threatened by extinction.
111,Elendig luftkvalitet i de største byene ,Miserable air quality in the largest cities
112,Mer ekstremvær i vente?,More extreme weather in store?
113,Vi kan vente kraftigere nedbør og flere orkaner i framtiden.,We can expect stronger rainfall and more hurricanes in the future.
114,Bruk nett og aviser og finn stoff om klimaendringer og andre miljøspørsmål.,Use networks and newspapers and find material about climate change and other environmental issues.
115,Hva dreier debatten seg om for tida i Norge og i andre land dere kjenner?,What is the debate about for the time being in Norway and in other countries you know?
116,Hvordan tror dere verden ser ut om 50 år?,How do you think the world looks in 50 years?
117,På side 73 står det om passiv med bli.,On page 73 it says passive with stay.
118,Det kan utvinnes mer olje. ,More oil can be recovered.
119,Det utvinnes mye olje.,A lot of oil is recovered.
120,Saken skal diskuteres. ,The matter should be discussed.
121,Saken diskuteres i pressen.,The case is discussed in the press.
122,Norge eksporterer både gass og olje.,Norway exports both gas and oil.
123,Miljøet er omgivelsene rundt oss.,The environment is the surroundings around us.
124,Naturvern dreier seg om beskyttelse av naturen.,Nature conservation is about protection of nature.
125,Forurensning er det som skader natur og miljø.,Pollution is what harms nature and the environment.
126,"C02 er karbondioksid, en kjemisk forbindelse av karbon og oksygen.","C02 is carbon dioxide, a chemical compound of carbon and oxygen."
127,Klimaendringer er varige forandringer i vær og temperatur.,Climate change is lasting changes in weather and temperature.
128,"Fornybare energikilder: Vindkraft, solenergi og vannkraft er eksempler på energikilder som stadig vil gi ny energi.","Renewable energy sources: Wind power, solar energy and hydropower are examples of energy sources that will constantly provide new energy."
129,"Gass, olje og kull er ikke fornybare. ","Gas, oil and coal are not renewable."
130,Kildene kan bli tømt.,The sources may be emptied.
131,Alternative energikilder er erstatninger for de største energikildene vi bruker i dag.,Alternative energy sources are substitutes for the largest energy sources we use today.
