,NO,EN
123,"Hvis du har lav inntekt (ca. 65 000 i 2022), kan du få frikort i stedet.","If you have a low income (about 65,000 in 2022), you can get a free pass instead."
124,Da skal du ikke betale skatt.,Then you should not pay taxes.
125,Hver vår mottar arbeidstakeren skattemelding fra skatteetaten. ,"Each spring, the employee receives a tax return from the Tax Administration."
126,"Det er en oversikt over hva man har tjent, og hva man eier. ",It is an overview of what you have earned and what you own.
127,Det viser grunnlaget for den skatten man betaler.,It shows the basis for the tax you pay.
128,"Dersom man har betalt for mye eller for lite skatt, får man beskjed om det senere.","If you have paid too much or too little tax, you will be told later."
129,"Hvis man eier sin egen bedrift, må man selv passe på å betale skatten.","If you own your own company, you have to make sure to pay the tax."
130,Se mer på altinn.no og skatteetaten.no.,See more at altinn.no and skatteetaten.no.
131,"Hva bør stat og kommune ha ansvar for, og hva kan vi betale selv?","What should the state and municipality be responsible for, and what can we pay for ourselves?"
132,Dere finner noen forslag i rammen.,You will find some suggestions in the framework.
133,Forklar hvorfor det offentlige bor eller ikke bor ha ansvaret for dette.,Explain why the public lives or does not live in charge of this.
134,Mange sliter,Many are struggling
135,Freddy Hill arbeider som frivillig i en organisasjon som deler ut gratis mat til folk som trenger det. ,Freddy Hill works as a volunteer in an organization that distributes free food to people who need it.
136,Sammen med andre frivillige drar han hver fredag rundt med matvarer til fattige familier i byen. ,"Together with other volunteers, he goes around every Friday with food for poor families in the city."
137,Matvarene henter organisasjonen gratis fra de store butikkjedene. ,The foods get the organization free of charge from the big retail chains.
138,Mye av det er mat som snart går ut på dato.,Much of it is food that soon expires.
139,"Også i et rikt land som Norge er det folk som trenger hjelp for å få hverdagen til å gå rundt, sier han. ","Also in a rich country like Norway, people need help to make everyday life go around, he says."
140,Hos oss kan de få en stor kasse med mat gratis hver uke. ,With us they can get a big box of food for free every week.
141,Det betyr mye når du har lite penger. ,It means a lot when you have little money.
142,"Noen er flaue over å ikke klare seg selv, og de skynder seg å lukke døra når de har fått maten. ","Some are embarrassed not to manage themselves, and they rush to close the door when they have the food."
143,De vil ikke at naboene skal se at de får hjelp. ,They do not want the neighbors to see them get help.
144,Men de fleste er bare takknemlige og glade for å få mat på bordet. ,But most people are just grateful and happy to get food on the table.
145,Vi tar oss god tid på runden vår og prater med dem som vil. ,We take a good time in our round and talk to those who want.
146,Etter hvert har vi blitt godt kjent med mange av dem som får matkassa vår. ,"Gradually, we have become well acquainted with many of those who get our food box."
147,Det er mange årsaker til at noen blir fattige. ,There are many reasons why someone gets poor.
148,Det kan være rusproblemer eller helseproblemer. ,There may be substance abuse problems or health problems.
149,Noen faller mellom to stoler og får ikke nok hjelp av det offentlige. ,Some fall between two chairs and do not get enough help from the public.
150,Ofte har de rett og slett hatt uflaks.,Often they have simply had bad luck.
151,De rike bør betale mer skatt,The rich should pay more taxes
152,OECD har gjort en undersøkelse i 21 industriland og har funnet ut at flertallet av de spurte mener at rike mennesker bør betale mer skatt for å støtte de fattige. ,The OECD has conducted a survey in 21 industrialized countries and has found that the majority of those surveyed believe that rich people should pay more taxes to support the poor.
153,68% av de spurte mener det. ,68% of those surveyed believe it.
154,17% sier nei til en slik skatt. Resten er usikre.,17% say no to such a tax.The rest is uncertain.
155,"Synet på om man skal bruke skatt på den måten, varierer imidlertid noe fra land til land. ","However, the view of using taxes in that way varies from country to country."
156,"I Hellas og Portugal sier 80 % at de rike bør betale mer skatt, mens 10% sier nei. ","In Greece and Portugal, 80 % say the rich should pay more taxes, while 10 % say no."
157,"I USA er det 62% som vil bruke skattepolitikken til å utjevne forskjeller, mens 20% ikke ønsker det.","In the United States, 62% will use tax policy to equalize differences, while 20% do not want it."
158,"Når det gjelder årsaker til fattigdom, mener flertallet av de spurte at det skyldes urettferdighet eller uflaks. ","When it comes to causes of poverty, the majority of those surveyed believe it is due to injustice or bad luck."
159,Et mindretall mener at fattigdom skyldes at folk er late eller mangler initiativ.,A minority believes that poverty is due to people being lazy or lacking initiative.
