,NO,EN
32,"I 1963 spiste vi medisterkaker, kjøttkaker, fiskeboller, fiskepudding med kål, gulrøtter og kokte poteter. ","In 1963 we ate medister cakes, meat cakes, fish balls, fish pudding with cabbage, carrots and boiled potatoes."
33,Rekecoctail og «napolitansk osterett» var fin mat. ,"The shrimp coctail and ""Neapolitan cheese dish"" were fine food."
34,Tomatpureen kom inn i det norske kostholdet og satte piff og farge på maten.,The tomato puree entered the Norwegian diet and put the spice and color on the food.
35,Appelsinen var den mest eksotiske frukten på 60-tallet. ,The orange was the most exotic fruit in the 60s.
36,Den var så sur at man gjerne dyttet en sukkerbit inn i appelsin- kjøttet for at det skulle bli søtere. ,It was so sour that you often pushed a piece of sugar into the orange meat to make it sweeter.
37,"I dag spiser vi litt over 7,5 kg appelsiner i året.",Today we eat just over 7.5 kg of oranges a year.
38,Klementinen kom til Norge i 1963. ,The clementine came to Norway in 1963.
39,I dag spiser vi seks kilo hver i året.,Today we eat six pounds each year.
40,"I 2013 spiste vi rent kjøtt, kyllingfileter og sushi.","In 2013 we ate clean meat, chicken fillets and sushi."
41,Hva slags mat var vanlig på 1960-tallet i Norge?,What kind of food was common in the 1960s in Norway?
42,Hva spiste man i selskap?,What did you eat in company?
43,Hva forteller avisteksten om appelsinen?,What does the newspaper text tell about the orange?
44,Hva spiser nordmenn i dag?,What do Norwegians eat today?
45,Hva betyr disse setningene?,What do these sentences mean?
46,Avisene forteller at norske matvaner har forandret seg mye. ,The newspapers say that Norwegian eating habits have changed a lot.
47,Mange matretter fra andre land er nå blitt vanlige på norske middagsbord.,Many dishes from other countries have now become common at Norwegian dinner tables.
48,Hvorfor var mange i bedre form tidligere?,Why were many in better shape in the past?
49,På hvilke måter kan sykdommen diabetes være farlig?,In what ways can the disease diabetes be dangerous?
50,Hva kan vi gjøre for å komme i bedre form?,What can we do to get in better shape?
51,Hvor mye sukker spiser vi i gjennomsnitt i året?,How much sugar do we eat on average in the year?
52,Hvorfor bør vi ikke spise for mye salt?,Why shouldn't we eat too much salt?
53,Hva mener du er viktig i livet ditt?,What do you think is important in your life?
54,Er det andre ting enn god helse?,Are there other things than good health?
55,Hva liker du å gjøre for å holde deg i form? Gå på tur? Jogge? Sykle?,What do you like to do to keep in shape?Go for a walk?Jog?Ride?
56,Går du på helsestudio? Liker du å svømme? ,Do you go to a gym?Do you like to swim?
57,En journalist intervjuet en stor gruppe mennesker og spurte: «Hva synes du er viktigst i livet ditt?»,"A journalist interviewed a large group of people and asked, ""What do you think is most important in your life?"""
58,De fleste svarte: «Å ha god helse.» ,"Most replied, ""Having good health."""
59,"De fleste tenker på helsa, men ikke alle lever like sunt. ","Most people think of health, but not everyone lives equally healthy."
60,"Vi spiser for mye usunn mat, og vi mosjonerer for lite. ","We eat too much unhealthy food, and we exercise too little."
61,"«Kom deg opp av sofaen», sier legene.","""Get off the couch,"" says the doctors."
62,"Altfor mange kjører bil, tar heisen i stedet for å gå i trapper, sitter foran datamaskinen på jobben og foran tv-en om kvelden. ","Too many people drive a car, take the elevator instead of walking stairs, sitting in front of the computer at work and in front of the TV in the evening."
63,Tidligere beveget folk seg mye mer. ,Previously moved people much more.
64,De hadde ikke bil og måtte gå når de skulle noen steder. ,They did not have a car and had to go when they were going anywhere.
65,Mange hadde også hardt fysisk arbeid. ,Many also had hard physical work.
66,"Vi er den første generasjonen som sitter stille store deler av dagen, både på jobb og hjemme.","We are the first generation to sit quietly for much of the day, both at work and at home."
67,Fysisk aktivitet er viktig for å unngå sykdommer som diabetes eller sukkersyke. ,Physical activity is important to avoid diseases such as diabetes or diabetes.
68,"Mange unge mennesker får diabetes, og det er en alvorlig sykdom. ",Many young people get diabetes and it is a serious illness.
69,"Dersom man har høyt blodsukker over lang tid, øker risikoen for å få hjerneslag, hjerteinfarkt og andre sykdommer. ","If you have high blood sugar over a long period of time, the risk of a stroke, heart attack and other diseases increases."
70,Det viser seg at risikoen er litt større hos kvinner enn hos menn. ,It turns out that the risk is slightly greater in women than in men.
71,"«Bruk beina», sier legene. ","""Use your legs,"" the doctors say."
72,En 30 minutters tur hver dag er en god begynnelse. ,A 30 minute walk every day is a good start.
73,"Kan du gå til eller fra jobben, eller gå av bussen litt før du er hjemme? ","Can you go to or from work, or get off the bus a little before you are at home?"
74,Det hjelper!,It helps!
75,"Vi må også bli flinkere til å spise sunn mat, slik som frukt, grønnsaker og fisk. ","We also need to be better at eating healthy foods, such as fruits, vegetables and fish."
76,"«Alle» vet også at sukker er usunt, både fordi man kan legge på seg, utvikle diabetes og ødelegge tennene. ","""Everyone"" also knows that sugar is unhealthy, both because you can put on, develop diabetes and destroy your teeth."
77,"Likevel er sukkerforbruket svært høyt, selv om det nå ser ut til å gå litt ned. ","Still, sugar consumption is very high, although it now seems to go down a bit."
78,For 200 år siden spiste hver nordmann bare to kilo sukker i gjennomsnitt i året. ,"200 years ago, each Norwegian ate only two kilos of sugar on average a year."
79,I dag er gjennom-snittet 30 kilo. ,"Today, through the average is 30 kilos."
80,"En av grunnene til dette er at det er mye sukker i den ferdigproduserte maten vi kjøper, også i matvarer for barn. ","One of the reasons for this is that there is a lot of sugar in the pre -produced food we buy, even in foods for children."
81,Det er også altfor mye salt i denne maten. ,There is also too much salt in this food.
82,For mye salt kan gi høyt blodtrykk og større risiko for hjerte- og karsyk-dommer. ,Too much salt can cause high blood pressure and a greater risk of cardiovascular referees.
83,Kanskje bør vi kreve at matvareindustrien tilsetter mindre salt i produktene sine?,Maybe we should demand that the food industry add less salt to its products?
84,Visste du at innvandrerungdom med muslimsk bakgrunn har bedre psykisk helse enn andre ikke-vestlige innvandrere? ,Did you know that immigrant youth with a Muslim background have better mental health than other non-Western immigrants?
85,Visste du at tyrkiske menn drikker veldig mye brus og pakistanske menn veldig mye helmelk?,Did you know that Turkish men drink a lot of soft drinks and Pakistani men very much whole milk?
86,Eller at vietnamesiske menn spiser minst frukt og grønnsaker?,Or that Vietnamese men eat the least fruit and vegetables?
87,"Ifølge Folkehelseinstituttet er ikke innvandrerbefolkningen like fysisk aktiv som majoritetsbefolkningen, og innvandrere går oftere til fastlegen enn etniske nordmenn. ","According to the Institute of Public Health, the immigrant population is not as physically active as the majority population, and immigrants go to the GP more often than ethnic Norwegians."
88,Det er også flere kronisk syke blant innvandrere enn blant befolkningen for øvrig.,There are also more chronically ill among immigrants than among the general population.
89,"Når det gjelder psykisk helse, har ungdommer med foreldre fra land der islam er dominerende religion, færre psykiske plager enn annen innvandrerungdom fra ikke-vestlige land.","When it comes to mental health, young people with parents from countries where Islam are dominant religion, fewer mental illnesses than other immigrant youth from non-Western countries."
90,Overvekt og diabetes er et alvorlig problem blant alle innvandrergruppene. ,Overweight and diabetes are a serious problem among all immigrant groups.
91,Overvekt er vanligere blant kvinner enn blant menn. ,Overweight is more common among women than among men.
92,Blant etnisk norske er det omvendt. ,Among ethnic Norwegian it is the other way around.
93,Der er det flere menn enn kvinner som er overvektige.,There are more men than women who are overweight.
94,"I motsetning til etnisk norske er det få innvandrerkvinner som røyker, og det reduserer forekomsten av hjerte- og karsykdommer og kreft. ","Unlike ethnic Norwegian, there are few immigrant women who smoke, and it reduces the incidence of cardiovascular disease and cancer."
95,Innvandrere drikker heller ikke så mye alkohol som etniske nordmenn gjør. ,Immigrants also do not drink as much alcohol as ethnic Norwegians do.
96,Dermed unngår 2 man alle problemer som er knyttet til alkohol. ,This avoids 2 all problems associated with alcohol.
97,De fleste innvandrergruppene har lavere blodtrykk enn etniske nordmenn. ,Most immigrant groups have lower blood pressure than ethnic Norwegians.
98,Dette er også med på å redusere forekomsten av hjerte- og karsykdommer. ,This also helps to reduce the incidence of cardiovascular disease.
99,I mye tradisjonell «innvandrermat» brukes grønnsaker og frukt enn i tradisjonell norsk mat. ,"In a lot of traditional ""immigrant foods"" vegetables and fruits are used than in traditional Norwegian food."
100,"Belgfrukter (som erter, bønner og peanøtter) er spesielt sunt og brukes mye i arabisk, tyrkisk og pakistansk mat. ","Legumes (such as peas, beans and peanuts) are especially healthy and are widely used in Arabic, Turkish and Pakistani food."
101,Til det flerkulturelle magasinet Blend sier idrettspedagog Nuzhat Sarwar at det ikke er så mange blant første generasjon innvandrere som trener. ,"To the multicultural magazine Blend, sports educator Nuzhat Sarwar says that there are not so many of the first generation of immigrants who train."
102,Sarwar oppfordrer derfor barna til å støtte og hjelpe til slik at mor og far får seg litt mosjon i løpet av dagen. ,Sarwar therefore encourages the children to support and help so that mother and father get some exercise during the day.
103,Det er nemlig ikke mye som skal til. ,There is not much to do.
104,Forskning viser at 30 minutter om dagen kan utgjøre en betydelig positiv forskjell.,Research shows that 30 minutes a day can make a significant positive difference.
105,En matrett er det vi spiser til lunsj og middag. ,A dish is what we eat for lunch and dinner.
106,"Noen ganger spiser vi flere retter, både forrett, hovedrett og dessert.","Sometimes we eat several dishes, both appetizer, main course and dessert."
107,"Ferdigprodusert mat er mat som er laget ferdig før du kjøper den, slik at det tar kort tid å tilberede den.","Finished food is food made before you buy it, so it takes a short time to prepare it."
108,"Et forbruk er det vi bruker eller konsumerer av for eksempel sukker, salt og andre ting. Vi kan ha et høyt eller et lavt forbruk.","Consumption is what we use or consume of, for example, sugar, salt and other things.We can have a high or low consumption."
109,"Gjennomsnittet av noe betyr middelverdien av noe. Hvis A spiser 12 kilo sukker i året og B spiser 8 kilo, spiser de i gjennomsnitt 10 kilo hver i året.","The average of something means the mean of something.If A eats 12 kilos of sugar a year and B eat 8 kilos, they eat an average of 10 kilos each in the year."
110,"Å være fysisk aktiv betyr at vi beveger oss mye, slik som å gå, løpe, sykle eller svømme.","Being physically active means that we move a lot, such as walking, running, cycling or swimming."
111,Vi holder oss i form for å unngå helseplager. ,We stay in shape to avoid health problems.
112,Det betyr at vi er fysisk aktive og prøver å spise sunt.,That means we are physically active and try to eat healthy.
113,Å være overvektig betyr at man veier for mye i forhold til normalvekten.,Being overweight means we weigh too much in relation to normal weight.
114,"En fastlege er en allmennpraktiserende lege og din primærlege, det vil si den legen du først kontakter når du er syk. ","A GP is a general practitioner and your primary physician, that is, the doctor you first contact when you are sick."
115,Fastlegene har en liste med innbyggere som de har ansvar for. ,The GPs have a list of residents for which they are responsible.
116,"Alle som er registrert i Folkeregisteret, har rett til å få en fastlege.",Everyone registered in the National Register has the right to get a GP.
117,Blodtrykk er det trykket som er i blodårene når hjertet pumper blod.,Blood pressure is the pressure that is in the blood vessels when the heart pumps blood.
118,Du må skynde deg!,You have to hurry!
119,Skynd deg!,Hurry!
120,Han er større enn henne.,He's bigger than her.
