,NO,EN
47,"Samene er et urfolk som bor i fire land: Norge, Sverige, Finland og Russland. ","The Sami are an indigenous people living in four countries: Norway, Sweden, Finland and Russia."
48,Vi regner med at det bor cirka 80 000 samer i de fire landene. ,"We expect that there are about 80,000 Sami in the four countries."
49,Omtrent halvparten av dem bor i Norge. ,About half of them live in Norway.
50,"Tidligere levde mange samer av reindrift, jakt og fiske. ","Previously, many Sami lived by reindeer husbandry, hunting and fishing."
51,"I dag lever bare en liten del, cirka 10 %, av reindrift.","Today, only a small part, about 10 %, live by reindeer husbandry."
52,Samene snakker et språk som er svært forskjellig fra norsk. ,The Sami speak a language that is very different from Norwegian.
53,"Det er forresten ikke bare ett språk, men en språkgruppe som består av mange ulike språk. ","By the way, it is not just one language, but a language group that consists of many different languages."
54,Nordsamisk er det mest brukte samiske språket. ,Northern Sami is the most widely used Sami language.
55,"90% av de som snakker samisk til daglig, bruker nordsamisk.",90% of those who speak Sami on a daily basis use Northern Sami.
56,Den norske staten undertrykte samene i lang tid. ,The Norwegian state suppressed the Sami for a long time.
57,På midten av 1800-tallet ble det bestemt at samene ikke fikk lov til å bruke sitt eget språk på skolen. ,"In the mid-1800s, it was decided that the Sami were not allowed to use their own language at school."
58,"All undervisning skulle være på norsk, og dette gjaldt helt fram til 1959.","All teaching should be in Norwegian, and this applied until 1959."
59,"Samene har blitt undertrykt og diskriminert på ulike måter, og det er kanskje en av grunnene til at Gunnars farmor, i likhet med mange andre, ikke ville fortelle at hun var av samisk slekt.","The Sami have been suppressed and discriminated against in various ways, and that is perhaps one of the reasons why Gunnar's grandmother, like many others, would not tell that she was of Sami family."
60,"Heldigvis har dette forandret seg, og i dag er det mange som arbeider for at den samiske kulturen skal leve videre.","Fortunately, this has changed, and today many people work for the Sami culture to live on."
61,I 1986 fikk samene sitt eget flagg. ,"In 1986, the Sami got their own flag."
62,Sirkelen i flagget symboliserer sola (rødt) og månen (blått).,The circle in the flag symbolizes the sun (red) and the moon (blue).
63,De fire fargene symboliserer at samene bor i fire land.,The four colors symbolize that the Sami live in four countries.
64,HVOR ER DU FRA?,WHERE ARE YOU FROM?
65,I boka Third Culture Kids. ,In the book Third Culture Kids.
66,Å vokse opp mellom kulturer forteller Tanita Saranya Landgraf om oppveksten sin i Norge.,"To grow up between cultures, Tanita Saranya land graph tells her upbringing in Norway."
67,"Hun vokste opp i Sollia, ei lita fjellbygd midt mellom Oslo og Trondheim. ","She grew up in Sollia, a small mountain village in the middle of Oslo and Trondheim."
68,"I Sollia bodde det bare 150 mennesker, og på skolen var det ikke mer enn 20 elever til sammen. ","There were only 150 people in Sollia, and at school there were no more than 20 pupils in total."
69,En gang i uka hadde de uteskole. ,Once a week they had an outdoor school.
70,"Da dro de ut i skogen og tente bål, og mange, slik som Tanita, tok jegerprøven.","Then they went out into the woods and lit bonfires, and many, such as Tanita, took the hunter test."
71,"Når Tanita forteller om oppveksten sin og hvor hun kommer fra, blir hun ofte avbrutt. ","When Tanita talks about her upbringing and where she comes from, she is often interrupted."
72,"Når hun forteller om det hun mener er typisk norsk, om fjell og rare dialektord, avbryter folk henne og spør: «Ja, men hvor er du egentlig fra?» ","When she talks about what she thinks is typically Norwegian, about mountains and weird dialect words, people interrupt her and ask, ""Yes, but where are you really from?"""
73,I boka forteller hun:,In the book she says:
74,Spørsmålet begynte jeg å få da jeg flyttet fra Sollia.,The question I started to get when I moved from Sollia.
75,"Det holdt ikke å fortelle dem at jeg er fra Sollia, de ser nemlig at jeg ikke egentlig er fra en liten norsk bygd, selv ikke når jeg snakker dialekt. ","It didn't tell them that I am from Sollia, because they see that I am not really from a small Norwegian village, even when I speak dialect."
76,Utseendet mitt får folk til å spørre. ,My look makes people ask.
77,Og da begynner jeg på mitt andre innøvde svar: ,And then I start my second practiced answer:
78,Å ja? Du mener på grunn av utseendet? Pappa er fra Tyskland og Tsjekkia og mamma er fra Thailand.,Oh yes?You mean because of the look?Dad is from Germany and the Czech Republic and mom is from Thailand.
79,"Når dette svaret er avgitt, blir de fornøyde og nærmest lettet i blikket. ","When this answer is made, they are satisfied and almost relieved in their eyes."
80,"Da får de rett, for de visste jo at jeg ikke egentlig var norsk.»","Then they get right, because they knew I wasn't really Norwegian. ”"
81,TRADISJONER,Tradition
82,Darian fikk jobben som assistent i barnehagen! ,Darian got the job as an assistant in the kindergarten!
83,Gjett om han ble glad. ,Guess if he was happy.
84,"Nå har han jobbet der i to måneder, og i dag er det 16. mai. ","Now he has worked there for two months, and today it is May 16."
85,"Sammen med ungene har han gått i tog, slik barnehagebarn gjør dagen før 17. mai mange steder i Norge. ","Together with the kids he has gone by train, as kindergarten children do the day before May 17 in many places in Norway."
86,"De har øvd seg til nasjonaldagen, viftet med norske flagg og ropt «hurra».","They have practiced National Day, waved Norwegian flags and shouted ""Hurray""."
87,"Mange av foreldrene er med på feiringen i barnehagen, og mens barna spiser is, begynner de å snakke om tradisjoner i ulike land.","Many of the parents participate in the kindergarten celebration, and while the children eat ice cream, they start talking about traditions in different countries."
88,Jeg elsker 17. mai. ,I love May 17th.
89,"Alle er så glade da, og det er fullt av folk ute i gatene. Det er veldig annerledes enn resten av året.","Everyone is so happy then, and there are plenty of people out in the streets.It is very different from the rest of the year."
90,Vi nordmenn er jo egentlig veldig hjemmekjære.   ,"After all, we Norwegians are really very loving."
91,Vi skynder oss hjem etter arbeidstid. ,We hurry home after working hours.
92,Men på 17. mai skal vi ut og være sammen med andre!  ,But on May 17 we will go out and be with others!
93,"Vi kler oss pent, gjerne i bunad, og vi spiser is. ","We dress nicely, preferably in bunad, and we eat ice cream."
94,"Jeg er fra Vilankulo, en liten by i Mosambik.  ","I'm from Vilankulo, a small town in Mozambique."
95,Der har vi en fin tradisjon. ,There we have a nice tradition.
96,"Når et nyfødt barn får navn, pynter familie, venner og naboer seg og går hjem til barnets foreldre for å være med på feiringen. ","When a newborn child is named, family, friends and neighbors decorate and go home to the child's parents to attend the celebration."
97,"Etter at barnet har fått navn, blir det båret rundt og vist fram for første gang i byen. ","After the child has been named, it is carried around and shown for the first time in the city."
98,Hele selskapet følger etter mens de synger og danser.,The whole company follows as they sing and dance.
99,"I Iran feirer de nyttår i mars, og mamma og pappa feirer også dagen i Norge. ","In Iran, they celebrate New Year in March, and mom and dad also celebrate the day in Norway."
100,"Da setter de en fin glassbolle med vann på bordet, og i bollen er det en gullfisk. ","Then they put a nice glass bowl with water on the table, and in the bowl there is a goldfish."
101,"De har fortalt meg at i samme øyeblikk som det gamle året går over i det nye, snur gullfisken seg i bollen og slutter å svømme et øyeblikk. ","They have told me that at the moment the old year goes into the new, the goldfish turns into the bowl and stops swimming for a moment."
102,"Da jeg var liten, studerte jeg gullfisken nøye, men jeg syntes den snudde seg hele tida, jeg.","When I was a kid, I studied the goldfish carefully, but I thought it turned around all the time, me."
103,Det er uansett en hyggelig tradisjon.,It is a nice tradition anyway.
104,"Jeg er fra Kina, og der er dragen et viktig symbol. ","I am from China, and there the dragon is an important symbol."
105,"Den symboliserer lykke, samtidig som den passer på at bøndene får nok regn.","It symbolizes happiness, while ensuring that the farmers get enough rain."
106,"Jeg vokste opp i et jordbruksområde, og når det var nyttår, danset vi en «dragedans» med ønske om et godt nytt år, men ikke for tørt år.","I grew up in an agricultural area, and when it was New Year, we danced a ""dragon dance"" with the desire for a happy new year, but not for dry years."
107,LITT NORSK HISTORIE,Some Norwegian history
108,"17. mai 1814 fikk Norge sin egen grunnlov, og dagen har blitt nasjonaldagen i Norge.","On May 17, 1814, Norway got its own constitution, and the day has become a national day in Norway."
109,17. mai blir gjerne kalt for «barnas dag» fordi den blir feiret med barnetog over hele landet.,"May 17 is often called ""children's day"" because it is celebrated with children's trains across the country."
110,"Barn og voksne pynter seg, mange i nasjonaldrakt eller bunad.","Children and adults decorate, many in national costume or costume."
111,For å forstå bakgrunnen for dagen må vi gå tilbake i historien. ,"To understand the background of the day, we must go back in history."
112,På slutten av 1300-tallet fikk Danmark og Norge en felles konge. ,"At the end of the 1300s, Denmark and Norway got a joint king."
113,Det var starten på en union som varte i over 400 år. ,It was the start of a union that lasted for over 400 years.
114,Norge hadde liten makt i denne unionen. ,Norway had little power in this union.
115,"Kongene i unionen var alltid danske, og de fleste viktige bestemmelsene ble tatt i København.","The kings of the union were always Danish, and most important provisions were taken in Copenhagen."
116,På begynnelsen av 1800-tallet brøt det ut en krig i Europa. ,"At the beginning of the 19th century, a war broke out in Europe."
117,"I denne krigen var Danmark-Norge på tapernes side, og da freden kom, måtte Danmark gi fra seg Norge til Sverige. ","In this war, Denmark-Norway was on the losers' side, and when peace came, Denmark had to give up Norway to Sweden."
118,Mange nordmenn var imot en union med Sverige. ,Many Norwegians were against a union with Sweden.
119,"De ønsket at Norge skulle bli selvstendig, og 112 menn fikk i oppgave å lage en egen grunnlov - en konstitusjon - for landet. ","They wanted Norway to become independent, and 112 men were tasked with creating their own constitution - a constitution - for the country."
120,17. mai 1814 ble grunnloven ferdig. ,"On May 17, 1814, the Constitution was completed."
121,"Norge ble ikke selvstendig, men landet beholdt grunnloven i unionen med Sverige.","Norway was not independent, but the country retained the constitution in the union with Sweden."
122,Unionen med Sverige varte til 1905. ,The union with Sweden lasted until 1905.
123,Etter cirka 500 år i union med andre land ble Norge endelig selvstendig og fikk sin egen konge.,"After about 500 years in Union with other countries, Norway finally became independent and got its own king."
124,EVENTYR.,FAIRYTALE.
125,"Eventyr er fortellinger om dyr, mennesker og overnaturlige vesener. ","Adventures are stories of animals, humans and supernatural beings."
126,"Historiene er gamle, og de ble fortalt fra generasjon til generasjon før de ble skrevet ned. ",The stories are old and they were told from generation to generation before being written down.
127,Det er typisk for et eventyr å ha mange gjentakelser. ,It is typical of an adventure to have many repetitions.
128,På den måten ble det lettere for folk å huske historiene og fortelle dem videre til neste generasjon.,"That way, it became easier for people to remember the stories and tell them to the next generation."
129,"Eventyr blir fortalt på en slik måte at vi tror de kommer fra vårt eget land, men det stemmer ikke. ","Adventure is told in such a way that we think they come from our own country, but that's not right."
130,"Selv om eventyrheltene har nasjonale trekk, finner vi nesten like historier i mange land. ","Although the adventure heroes have national features, we find almost similar stories in many countries."
131,"Det betyr at eventyrene ikke er nasjonale, men internasjonale.",This means that the adventures are not national but international.
132,Norske eventyr begynner ofte med: «Det var en gang ...»,"Norwegian adventures often begin with: ""There was once ..."""
133,"Den mest kjente eventyrhelten heter Askeladden, og eventyret om «Askeladden som kappåt med trollet» har de aller fleste nordmenn lest eller hørt.","The most well -known adventure hero is called Askeladden, and the adventure of ""Askeladden as a cutting song with the troll"", most Norwegians have read or heard."
134,Askeladden som kappåt med trollet,Askeladden who held an eating contest with the troll
135,Det var en gang en bonde som hadde tre sønner. ,There was once a farmer who had three sons.
136,"Han var gammel og fattig, men sønnene hans ville ikke gjøre noe på gården. ","He was old and poor, but his sons wouldn't do anything on the farm."
137,"Til gården hørte det en stor skog, og nå ville faren at guttene skulle hogge i skogen. ","To the farm there was a big forest, and now the father wanted the boys to chop in the forest."
138,På den måten kunne han betale litt av gjelda si.,That way he could pay some of the debt.
139,Først dro den eldste ut for å hogge. ,"First, the oldest went out to chop."
140,"Da han hadde hogd en liten stund, kom det et stort, fælt troll bort til ham. ","When he had chopped a little while, a big, terrible troll came to him."
141,"«Hvis du hogger i min skog, dreper jeg deg,» sa trollet. ","""If you chop in my forest, I kill you,"" the troll said."
142,"Da gutten hørte det, kastet han øksa og løp hjem så fort han kunne. ","When the boy heard it, he threw the ax and ran home as soon as he could."
143,Faren ble sint og sa at trollene aldri hadde skremt ham da han var ung.,The father got angry and said the trolls had never scared him when he was young.
144,"Neste dag dro den andre sønnen av sted, men det gikk ikke bedre med ham. ","The next day, the second son left, but him didn't go any better."
145,"Da han hadde hogd en liten stund, kom trollet.","When he had chopped a little while, the troll came."
146,"«Hvis du hogger i min skog, dreper jeg deg.» ","""If you chop in my forest, I'll kill you."""
147,Gutten våget nesten ikke å se på trollet. ,The boy hardly dared to look at the troll.
148,"Han kastet øksa og sprang av sted akkurat som broren, bare enda fortere. ","He threw the ax and jumped off just like his brother, just even faster."
149,"Da han kom hjem, ble faren sint, og sa at trollene aldri hadde skremt ham da han var ung.","When he got home, his father got angry and said the trolls had never scared him when he was young."
150,Den tredje dagen ville Askeladden dra av sted.,"On the third day, Askeladden would leave."
151,"«Dul!» sa de to eldste, «du kan vel ikke klare det, du som aldri har vært utenfor stuedøra!»","""Dul!""said the two elders, ""You can't do it, you who have never been outside the front door!"""
152,"Askeladden svarte ikke, men ba om å få litt mat med seg. ","Askeladden did not answer, but asked for some food."
153,"Han fikk en fersk, hvit ost som han puttet i skinnsekken, og så dro han av sted. ","He got a fresh white cheese that he put in the skin bag, and then he left."
154,"Da han hadde hogd en stund, kom trollet. ","When he had chopped for a while, the troll came."
155,"«Hvis du hogger i min skog, dreper jeg deg,» ropte trollet.","""If you chop in my forest, I kill you,"" the troll shouted."
156,Men gutten ble ikke redd. ,But the boy wasn't scared.
157,Han løp bort til sekken og hentet den hvite osten. ,He ran to the bag and picked up the white cheese.
158,Så klemte han den så hardt at det rant av den.,Then he squeezed it so hard that it ran off.
159,"«Hvis du ikke tier stille, skal jeg klemme deg akkurat slik som jeg klemmer vannet ut av denne hvite steinen,» skrek han til trollet.","""If you don't silence, I'll squeeze you just as I squeeze the water out of this white stone,"" he shouted to the troll."
160,"«Nei, kjære deg, ikke gjør det,» ba trollet.","""No, dear, don't,"" the troll prayed."
161,«Jeg skal hjelpe deg å hogge.»,"""I'll help you chop."""
162,"Trollet var flink til å hogge, så det ble mye ved den dagen.","The troll was good at chopping, so there was a lot about that day."
163,"Da kvelden kom, sa trollet: ","When the evening came, the troll said:"
164,"«Nå kan du bli med meg hjem, det er nærmere til meg enn til deg.»","""Now you can come home with me, it's closer to me than to you."""
165,"Ja, gutten ble med, og da de kom hjem til trollet, skulle han tenne i peisen mens gutten skulle gå etter vann til grøten. ","Yes, the boy joined, and when they came home to the troll, he was going to light in the fireplace while the boy was going for water to the porridge."
166,Men det sto to jernbøtter der som var så store og tunge at gutten ikke kunne løfte dem.,But there were two iron buckets there that were so big and heavy that the boy couldn't lift them.
167,Da sa gutten: «Disse er nesten for små. ,"Then the boy said: ""These are almost too small."
168,"Jeg går etter hele brønnen, jeg.»","I go for the whole well, me. """
169,"«Nei, kjære deg,» sa trollet. ","""No, dear,"" the troll said."
170,«Jeg kan ikke miste brønnen min. ,"""I can't lose my well."
171,"Du kan tenne i peisen, og så går jeg etter vann.»","You can light in the fireplace, and then I go for water. """
172,"Da trollet kom tilbake med vann, kokte de ei stor gryte med grøt.","When the troll came back with water, they cooked a large pot of porridge."
173,"«Hvis du vil,» sa gutten, «kan vi spise om kapp.»","""If you want,"" said the boy, ""can we eat about the race."""
174,"Det ville trollet, for her var han sikker på å vinne.","It would troll, because here he was sure to win."
175,Så satte de seg ned og begynte å spise. ,Then they sat down and started eating.
176,"Men gutten tok skinnsekken foran seg uten at trollet så det, og øste mer i den enn han spiste selv. ","But the boy took the leather bag in front of him without the troll watching it, and pouring more in it than he ate himself."
177,"Da sekken var full, tok han kniven sin og stakk hull på den slik at grøten rant ut. ","When the bag was full, he took his knife and punched it so that the porridge ran out."
178,"Trollet så på ham, men sa ikke noe.","The troll looked at him, but didn't say anything."
179,Etter en stund la trollet fra seg skjea.,"After a while, the troll left the spoon."
180,"«Nei, nå orker jeg ikke mer,» sa han.","""No, now I can't bear anymore,"" he said."
181,"«Du må spise,» sa gutten. ","""You have to eat,"" the boy said."
182,«Jeg er ikke halvmett ennå. ,"""I'm not half saturated yet."
183,Du kan bare gjøre slik som jeg og skjære hull på magen. ,You can only do like me and cut holes on my stomach.
184,Da kan du spise så mye du vil.»,"Then you can eat as much as you want. """
185,«Men gjør det ikke veldig vondt?» spurte trollet.,"""But doesn't it hurt?""asked the troll."
186,"«Å, ikke noe å snakke om,» svarte gutten.","""Oh, nothing to talk about,"" the boy replied."
187,"Så gjorde trollet som gutten sa, men du kan vel tenke deg hvordan det gikk. ","Then the troll did as the boy said, but you can imagine how it went."
188,Trollet døde med en gang. ,The troll died right away.
189,"Gutten tok med seg alt det gullet og sølvet han fant, og gikk glad hjem. ","The boy brought all the gold and silver he found, and went home happy."
190,Nå kunne faren betale tilbake gjelda si.,Now the father could repay the debt.
