,NO,EN
38,Fortell litt mer om hva du gjør på klubben.,Tell us a little more about what you do at the club.
39,"Vi hører på mye forskjellig musikk, og jeg viser andre hvordan man kan lage musikk.","We listen to a lot of different music, and I show others how to make music."
40,Der ser du. ,There you see.
41,Det kan du bruke i søknaden.,You can use that in the application.
42,Tror du det? ,Do you think so?
43,Jeg vet ikke hvordan jeg skal skrive en søknad.,I don't know how to write an application.
44,"Jeg kan hjelpe deg, men først vil jeg at du prøver selv. ","I can help you, but first I want you to try yourself."
45,Bruk dine egne ord og fortell hva du kan.,Use your own words and tell what you can.
46,Vær så konkret som mulig. ,Be as concrete as possible.
47,Det finnes også mange eksempler på nettet. ,There are also many examples on the web.
48,Du trenger også noen referanser. ,You also need some references.
49,Har du noen du kan spørre?,Do you have someone you can ask?
50,"Ja, jeg tror det. ",Yes I think so.
51,"Jeg må tenke litt, og så må jeg kanskje snakke med dem først.","I have to think a little, and then maybe I have to talk to them first."
52,Vil du jobbe som barnehageassistent?,Do you want to work as a kindergarten assistant?
53,I Granåsen barnehage søker vi etter en ny assistent. ,In Granåsen kindergarten we are looking for a new assistant.
54,"Vi er opptatt av sang og musikk, og vi ønsker oss en assistent som selv er glad i musikk og behersker ett eller flere instrumenter. ","We are passionate about singing and music, and we want an assistant who loves music and mastered one or more instruments."
55,God sangstemme er også en fordel.,Good singing voice is also an advantage.
56,Vi ser etter deg som er:,We look for you that is:
57,supermotivert for å jobbe med barn,Super motivated to work with children
58,en trygg voksenperson,a safe adult
59,"kreativ, positiv og empatisk","creative, positive and empathetic"
60,glad i å være ute i all slags vær,Happy to be out in all kinds of weather
61,Kvalifikasjoner:,Qualifications:
62,Relevant erfaring/utdanning er en fordel,Relevant experience/education is an advantage
63,Gode ferdigheter i norsk,Good skills in Norwegian
64,Behersker ett eller flere instrumenter,Master one or more instruments
65,"Stillingen er et ettårig vikariat, men med mulighet for forlengelse.","The position is a one -year substitute, but with the possibility of extension."
66,Vi gleder oss til å høre fra deg!,We look forward to hearing from you!
67,Søknaden sendes til granasen@gbs.no,The application is sent to granasen@gbs.no
68,DARIANS SØKNAD,Darian's application
69,"Darian har send søknaden, og nå er han spent. ","Darian has sent the application, and now he is excited."
70,Er han for ung? ,Is he too young?
71,Har han for lite erfaring? ,Does he have too little experience?
72,Er CV-en hans for tynn?,Is his resume too thin?
73,Han går med mobilen i lomma hele dagen og håper på telefon fra barnehagen.,He goes with his cellphone in his pocket all day and hopes for the phone from the nursery.
74,Søknad på stilling som barnehageassistent,Application for position as kindergarten assistant
75,Jeg viser til annonsen på Linkedin.com og søker den ledige stillingen som assistent i barnehagen.,I refer to the ad at LinkedIn.com and seek the vacant position as assistant in the kindergarten.
76,"Jeg er ferdig med grunnskolen og første år på videregående, men nå har jeg tatt en pause fra skolen. ","I finished primary school and first year of high school, but now I have taken a break from school."
77,"Jeg spiller i band, der jeg er vokalist.","I play in bands, where I am a vocalist."
78,"Jeg jobber også mye med musikk på Steinvik fritidsklubb og behersker flere instrumenter, som gitar og synthesizer.","I also work a lot with music at Steinvik leisure club and master several instruments, such as guitar and synthesizer."
79,På klubben hjelper jeg barn og unge med å lage musikk og lærer dem å spille. ,At the club I help children and young people make music and learn them to play.
80,Jeg er kreativ og vant til å jobbe med barn i ulike aldre.,I am creative and used to working with children of different ages.
81,Jeg har også hatt en deltidsjobb i kassa på BRA MAT i to år.,I have also had a part -time job at the cash register for good food for two years.
82,Jeg vil gjerne jobbe hos dere og håper på et positivt svar.,I would like to work with you and hope for a positive answer.
83,Vennlig hilsen,Sincerely
84,Vedlegg:,Attachments:
85,Attest fra BRA MAT,Certificate from good food
86,Vitnemål fra grunnskolen,Diploma from primary school
87,Kompetansebevis fra Vg1,Certificate from vg1
88,Personalia,Staff
89,Navn: Darian Sayari,Name: Dary Sayari
90,"Adresse: Nordgata 4, Steinvik","Address: Nordgata 4, Steinvik"
91,Født: 15.04.XX,Born: 15.04.xx
92,Tif. mobil: 903 65 551,TIF.Mobile: 903 65 551
93,E-post: darsay@gmail.com,E-mail: darsay@gmail.com
94,Utdanning,Education
95,20XX: Vg1 Studiespesialisering. Hegg videregående skole,20xx: Vg1 Study Specialization.Hegg High School
96,Praksis,Practice
97,"20XX-20XX: Deltidsansatt, BRA MAT","20xx-20xx: part-time employee, good food"
98,Språk,Language
99,"Norsk: morsmålskompetanse, skriftlig og muntlig ","Norwegian: mother tongue skills, written and oral"
100,"Engelsk: gode ferdigheter, bade skriftlig og muntlig ","English: Good skills, bathing written and oral"
101,Persisk: morsmålskompetanse i persisk muntlig,Persian: Mother tongue skills in Persian oral
102,Annet,Second
103,Vokalist i bandet Hva skjer'a?,Vocalist in the band What's going on?
104,Spiller flere instrumenter,Plays multiple instruments
105,Referanser,References
106,Daglig leder Alf Mørch på Steinvik fritidsklubb,Managing Director Alf Mørch at Steinvik Leisure Club
107,TIf. mobil: 931 00 415,TIF.Mobile: 931 00 415
108,"Butikksjef Nora Sorensen, BRA MAT","Store Manager Nora Sorensen, good food"
109,TIf. mobil: 967 58 012,TIF.Mobile: 967 58 012
110,FØR JOBBINTERVJUET,Before the job interview
111,Darian tenker mye på jobben i barnehagen og lurer på om han blir innkalt til intervju. ,Darian thinks a lot about the job in the kindergarten and wonders if he is called in for an interview.
112,Hva kommer de til å spørre om?,What are they going to ask?
113,Han søker på nettet og finner mange gode råd.,He searches the web and finds many good advice.
114,Skal du på jobbintervju?,Are you going to a job interview?
115,Førsteinntrykket er viktig. ,The first impression is important.
116,"Du trenger ikke å pynte deg, men du må se ordentlig ut. ","You don't have to decorate, but you have to look proper."
117,Kom presis og husk å smile! ,Come precise and remember to smile!
118,Det er viktig med god øyekontakt.,Good eye contact is important.
119,De fleste er nervøse når de skal til intervju.,Most are nervous when going to interview.
120,"Men hvis du er godt forberedt, vil du føle deg tryggere i situasjonen. ","But if you are well prepared, you will feel safer in the situation."
121,Finn ut mest mulig om arbeidsstedet før intervjuet. ,Find out as much as possible about the workplace before the interview.
122,Da virker du interessert.,Then you seem interested.
123,Det er også nyttig å tenke gjennom hva du selv vil si. ,It is also useful to think through what you want to say.
124,"Les stillingsannonsen godt, for der står det hva slags person arbeidsgiveren ønsker seg. Fortell om dine positive egenskaper. ","Read the job advertisement well, because it says what kind of person the employer wants.Tell about your positive features."
125,Øv gjerne med en venn å forhånd.,Feel free to practice a friend to advance.
126,Noen typer spørsmål er det ganske vanlig a få:,Some types of questions are quite common a few:
127,Fortell litt om deg selv.,Tell me about yourself.
128,Hvorfor har du søkt på denne stillingen?,Why did you apply for this position?
129,Hva kan du bidra med her hos oss?,What can you contribute here with us?
130,Hvilke egenskaper har du som gjør at du passer til denne stillingen?,What characteristics do you have that make you fit this position?
131,Hvordan vil du karakterisere din evne til å samarbeide?,How would you characterize your ability to cooperate?
132,Hvordan vil dine venner og bekjente karakterisere deg?,How will your friends and acquaintances characterize you?
133,Hva er dine sterke og svake sider?,What are your strengths and weaknesses?
134,Har du noen hobbyer?,Do you have any hobbies?
135,Hvorfor bør vi ansette deg?,Why should we hire you?
136,Det er viktig å være aktiv under intervjuet. ,It is important to be active during the interview.
137,Vis at du er interessert i det dere snakker om. ,Show that you are interested in what you are talking about.
138,Se på personen du snakker med. ,Look at the person you are talking to.
139,Ikke var redd for å vise hvem du er. ,Were not afraid to show who you are.
140,Darian ser på rådene. ,Darian looks at the advice.
141,"Sterke og svake sider, tenker han. ","Strong and weaknesses, he thinks."
142,"Det er ikke lett å svare på, særlig ikke det siste. ","It is not easy to answer, especially not the last."
143,"Det at han har sluttet på skolen, er i hvert fall ikke en positiv ting, tenker han.","The fact that he has quit school is at least not a positive thing, he thinks."
144,"Ingen vil framstille seg selv på en dårlig måte, sa hva kan man si? ","No one wants to present themselves in a bad way, said what can you say?"
145,Han snakker litt med Sara og spør også kameratene sine på klubben om de kan hjelpe ham.,He talks to Sara a bit and also asks his comrades at the club if they can help him.
146,Det kan de.,They can.
147,"De diskuterer litt fram og tilbake, og de er enige om at Darian er kreativ og positiv og flink til å ta initiativ. ","They discuss a little back and forth, and they agree that Darian is creative and positive and good at taking the initiative."
148,Han er også en person de kan stole på. ,He is also a person they can trust.
149,På den andre side kan han være litt sta. ,"On the other hand, he can be a little stubborn."
150,"Han har så mye rar musikk han har lyst til spille, og noen ganger må de stoppe ham.","He has so much weird music he wants to play, and sometimes they have to stop him."
151,Darian er fornøyd. ,Darian is pleased.
152,"Å være sta er kanskje negativt, men samtidig betyr det at han ikke gir opp så lett. ","Being stubborn may be negative, but at the same time it means he doesn't give up so easily."
153,Dette må han huske hvis barnehagen kontakter ham.,He must remember this if the kindergarten contacts him.
154,I POSITIVE OG NEGATIVE EGENSKAPER,In positive and negative characteristics
155,Sara sitter og tenker. ,Sara sits thinking.
156,"Hun har snakket med broren sin om hans positive og negative egenskaper, og nå lurer hun på hvordan hun selv er:","She has talked to her brother about his positive and negative qualities, and now she wonders how she herself is:"
157,Darian er engasjert og glad i å hjelpe andre. ,Darian is engaged and fond of helping others.
158,Det er en positiv ting. ,It's a positive thing.
159,Samtidig er han kanskje litt rastløs? ,"At the same time, maybe he is a little restless?"
160,"Han har lopper i blodet og liker ikke å sitte stille, eller at ting tar for lang tid. ","He has fleas in his blood and does not like to sit still, or that things take too long."
161,Der er vi ganske forskjellige. ,There we are quite different.
162,Jeg mener selv at jeg er tålmodig og ganske strukturert. ,I myself mean that I am patient and quite structured.
163,"Jeg har evnen til å konsentrere meg, og derfor har det vart lett for meg a studere.","I have the ability to concentrate, so it was easy for me to study."
164,Jeg er imidlertid ikke så utadvendt som broren min. ,"However, I'm not as outgoing as my brother."
165,"Jeg er faktisk litt sjenert når jeg treffer andre, men det er selvfølgelig avhengig av hvem jeg er sammen med. ","I am actually a little shy when I meet others, but of course it depends on who I am with."
166,"Med Gunnar, for eksempel, kan jeg prate om alt mulig. ","With Gunnar, for example, I can talk about everything."
167,Det er veldig fint.,It is very nice.
168,arbeidsom ,industrious
169,nøyaktig ,exact
170,blid ,happy
171,ryddig ,tidy
172,høflig ,polite
173,sjenert målrettet ,shy targeted
174,ivrig ,eager
175,Ærlig ,Honest
176,stille ,quiet
177,ansvarsbevisst serviceinnstilt ,Responsible service -minded
178,samarbeidsvillig ,cooperative
179,fleksibel ,flexible
180,rolig ,calm
181,effektiv,efficient
182,PÅ INTERVIU I BARNEHAGEN,At the interview in kindergarten
183,"En leder i barnehagen ringer, og Darian blir innkalt til jobb-intervju. ","A kindergarten leader calls, and Darian is called in for a job interview."
184,Han blir både glad og nervøs. ,He gets both happy and nervous.
185,"Nå er det alvor, tenker han. ","Now it's serious, he thinks."
186,For intervjuet leser han utlysningen en gang til og finner informasjon om barnehagen. ,For the interview he reads the announcement again and finds information about the kindergarten.
187,Han repeterer også de gode rådene han så på nettet. ,He also repeats the good advice he saw online.
188,Øyekontakt er viktig. ,Eye contact is important.
189,Det må han huske. ,He must remember that.
190,Men hvordan skal han forklare at han har droppet ut av skolen? ,But how should he explain that he has dropped out of school?
191,Han tenker lenge og prøver å finne et godt svar.,He thinks for a long time and tries to find a good answer.
192,"Velkommen, Darian. ","Welcome, Dary."
193,Det er hyggelig å treffe deg.,It's nice to meet you.
194,Først vil jeg gjerne at du forteller litt om deg selv.,"First, I want you to tell you a little about yourself."
195,Hvem er du?,Who are you?
196,"Foreldrene mine er fra Iran, men de flyttet med meg og storesøstera mi til Norge da jeg var tre år gammel. ","My parents are from Iran, but they moved with me and my big sister to Norway when I was three years old."
197,Derfor husker jeg ingenting fra Iran.,That's why I remember nothing from Iran.
198,Jeg har vokst opp i Steinvik og gått på skole her.,I grew up in Steinvik and attended school here.
199,På CV-en star det at du kan persisk.,On the resume it is starring that you can persist.
200,"Det er riktig. Hjemme bruker vi persisk, og jeg forstår og snakker persisk veldig godt.","That is correct.At home we use Persian, and I understand and speak Persian very well."
201,Det er bra. ,It is good.
202,"Her i barnehagen har vi barn fra mange ulike land, og det er positivt at du kan flere språk.","Here in the kindergarten we have children from many different countries, and it is positive that you know more languages."
203,Vi ser av søknaden din at du ikke er ferdig med videregående. ,We see from your application that you are not finished high school.
204,Har du sluttet?,Have you quit?
205,"Nei, jeg vet ikke. ","No, i do not know."
206,"Jeg slet med noen fag, som matematikk, og så mistet jeg motivasjonen etter hvert. ","I struggled with some subjects, like math, and then I lost motivation eventually."
207,Jeg ble vel skolelei. ,I was probably school.
208,Nå må jeg bare ha en pause fra skolen. ,Now I just have to have a break from school.
209,"Men jeg er veldig motivert for å begynne å jobbe, altså.","But I am very motivated to start working, that is."
210,Hvorfor søkte du på akkurat denne jobben?,Why did you apply for exactly this job?
211,"I annonsen står det at dere søker etter en person som er interessert i musikk, og som er kreativ og empatisk. ",The ad states that you are looking for a person who is interested in music and who is creative and empathetic.
212,Jeg synes det passer ganske godt på meg.,I think it fits me pretty well.
213,"Jeg har vart opptatt av musikk siden jeg var liten, og jeg synes det er gøy å undervise. Dessuten synes jeg det er morsomt å finne på nye ting.","I have been busy with music since I was a kid, and I think it's fun to teach.Besides, I think it's fun to come up with new things."
214,Det høres bra ut. ,That sounds good.
215,Har du flere sterke sider som du kan trekke fram?,Do you have more strengths that you can highlight?
216,"De andre i bandet mitt sier at de kan stole på meg, og det er viktig når jeg skal jobbe med barn.","The others in my band say they can trust me, and it's important when working with children."
217,Det har du rett i. ,You are right.
218,Hva vil du si er dine svake sider?      ,What would you say are your weaknesses?
219,"Jeg har mange ideer, men noen ganger kan jeg bli litt for ivrig, og jeg kan være litt sta. ","I have many ideas, but sometimes I can get a little too eager, and I can be a little stubborn."
220,"Jeg har så lyst til å få med meg alle, og da er det kanskje noen som blir irritert eller synes at jeg går for fort fram.","I want to bring all of me, and then maybe someone is annoyed or think I go too fast."
221,Det er sider jeg må jobbe med.,There are pages I have to work on.
222,Er det noe annet du har lyst til å trekke fram eller spørre om?,Is there anything else you want to pull out or ask?
223,Jeg leste om barnehagen på nettet. ,I read about the kindergarten online.
224,"Der står det at dere jobber mye med rytme og bevegelse, og at det kan være med på å utvikle språket til barna. ","It says that you work a lot with rhythm and movement, and that it can help to develop the language of the children."
225,"Det tror jeg også, så det vil jeg gjerne være med på.","I think so too, so I would like to be involved."
226,Det høres bra ut. ,That sounds good.
227,"Mange takk for intervjuet, Darian. ","Many thanks for the interview, Dary."
228,Vi har innkalt seks søkere til intervju.,We have summoned six applicants for an interview.
229,Du hører fra oss.,You hear from us.
230,HVOR ER JOBBENE?,Where are the jobs?
231,LEDIGE STILLINGER,VACANCIES
232,Mange jobber blir registrert hos Nav. ,Many jobs are registered with NAV.
233,"På nettsidene til Nav kan man søke jobb, man kan registrere CV-en sin, og man kan legge inn en apen jobbsøknad. ","On the NAV website you can apply for a job, you can register your resume, and you can enter an monkey job application."
234,Det finnes også mange andre nettsider med ledige stillinger.,There are also many other websites with vacancies.
235,"På CV-en din skal du kort og punktvis fortelle hva du har gjort av arbeid, kurs, skole og andre relevante ting. ","On your resume you should briefly tell what you have done in work, courses, schools and other relevant things."
236,CV-en er viktig. ,The CV is important.
237,"Det er det første arbeidsgiveren ser på, og ut ifra den sorterer hun eller han hvilke søknader som vil bli lest.","This is the first employer, and from it, she or he sorts what applications will be read."
238,Vær klar over at de fleste jobbene ikke blir annonsert.,Be aware that most jobs are not announced.
239,Arbeidsgivere finner aktuelle personer ved å spørre de ansatte eller andre kontakter.,Employers find relevant persons by asking employees or other contacts.
240,"Derfor er det en god idé å fortelle klassekamerater, venner og kjente at du er på utkikk etter jobb. ","Therefore, it is a good idea to tell classmates, friends and felt that you are looking for work."
241,"Alle du kjenner, er med i nettverket ditt.",Everyone you know is included in your network.
242,Tenk på hvordan du kan få et større nettverk. ,Think about how to get a larger network.
243,"Det kan du få ved å være aktiv i klubber og foreninger, for eksempel innenfor idrett og kultur. Frivillig arbeid gir deg også flere kontakter. ","You can get this by being active in clubs and associations, for example in sports and culture.Volunteering also gives you more contacts."
244,"Da kan du bli kjent med nye mennesker og, ikke minst, få trening i å bruke norsk språk.","Then you can get to know new people and, not least, get training in using Norwegian language."
245,Gode norskkunnskaper øker sjansen for å få seg jobb.,Good Norwegian knowledge increases the chance of getting a job.
246,INTERVJUET GIKK BRA...,The interview went well ...
247,JEG SVARTE GODT OG PRESIST...,I answered well and precisely ...
248,MEN SA SPURTE DE ETTER MINE NEGATIVE SIDER...,But then they asked for my negative sides ...
249,DET VAR DA JEG BLE STILLE...,That's when I was quiet ...
250,"OK, MEN NA VET DU HVA DU SKAL SVARE NESTE GANG:","OK, but now you know what to answer next time:"
251,TOTAL MANGEL PÅ SELVINNSIKT!,Total lack of self -insight!
