,NO,EN
47,Så setter jeg meg ned med ei god krimbok og en øl. ,Then I sit down with a good crime book and a beer.
48,Høsten er herlig!.,Autumn is wonderful!.
49,TEMPERATURER OG NEDBØR I NORGE,Temperatures and rainfall in Norway
50,"Norge er et langt land, og klimaet varierer ganske mye. ","Norway is a long country, and the climate varies quite a bit."
51,"Inne i landet er det varmt om sommeren og kaldt om vinteren, ","Inside the country it is hot in summer and cold in winter,"
52,Langs kysten er det mildt om vinteren. ,Along the coast it is mild in winter.
53,Der blir det ikke så varmt om sommeren. ,It doesn't get that hot in the summer.
54,Det regner ganske mye langs kysten. ,It rains quite a bit along the coast.
55,Ofte blåser det også.,Often it blows too.
56,HVORDAN VAR VÆRET?,HOW WAS THE WEATHER?
57,"Det er søndag kveld, og Åse er hjemme. ","It's Sunday night, and Åse is home."
58,"Det er ganske sent, ","It's pretty late,"
59,"men Åse er på kjøkkenet og lager mat til sønnen sin, Tobias","But Åse is in the kitchen and cooks for his son, Tobias"
60,"Han er på hyttetur med faren sin, ","He is on a cabin trip with his father,"
61,og Ase venter på at han skal komme hjem. ,And ASE is waiting for him to come home.
62,Klokka ni kommer han. ,At nine o'clock he comes.
63,Ase spør om det var fint på hytta.,ASE asks if it was nice at the cabin.
64,"Åse: Hei, Tobias. Var det fint på hytta?","Åse: Hi, Tobias.Was it nice at the cabin?"
65,"Tobias: Ja, det var bra. Har du noe mat? Jeg er skrubbsulten.","Tobias: Yes, it was good.Do you have any food?I'm the hungry."
66,"Åse:Ja, selvfølgelig. Kan du dekke bordet?","Åse: Yes, of course.Can you cover the table?"
67,Tobias: Jepp. Det lukter kjempegodt.,Tobias: Yep.It smells very good.
68,Åse: Hvordan var været?,Åse: How was the weather?
69,Tobias: På fredag var det sol hele dagen.,Tobias: On Friday it was sunny all day.
70,Åse: Hva gjorde dere?,Åse: What did you do?
71,"Pappa og jeg badet flere ganger, men Kjell satt inne.","Dad and I bathed several times, but Kjell sat inside."
72,Åse: Kjell? Samboeren til pappa? Var han også der?,Åse: Kjell?Dad's cohabitant?Was he there too?
73,Tobias: Ja. Han satt foran pc-en hele helga.,Tobias: Yes.He sat in front of the PC all weekend.
74,Åse: Hvorfor det?,Åse: Why?
75,"Tobias: Han hadde mye å gjøre, sa han.","Tobias: He had a lot to do, he said."
76,Åse: Er han hyggelig?,Åse: Is he nice?
77,Tobias:Han er ok.,Tobias: He's ok.
78,Åse: Synes du det er rart at pappa bor sammen med en mann?,Åse: Do you think it's strange that Dad lives with a man?
79,"Tobias: Klart det. Først var han gift med deg, ","Tobias: Sure.First he was married to you,"
80,og så ble han forelsket i en mann.,And then he fell in love with a man.
81,Åse: Ja. Det tok lang tid før pappa forsto følelsene sine.,Åse: Yes.It took a long time for Dad to understand his feelings.
82,Tobias: Men det er litt rart. ,Tobias: But it's a bit strange.
83,Mm. Kylling i karrisaus. Perfekt!,Mm.Chicken in curry sauce.Perfect!
84,Åse: Så bra. Bare spis. Det er mer mat på kjøkkenet.,Åse: So good.Just eat.There is more food in the kitchen.
85,Hva gjorde dere på lørdag?,What did you do on Saturday?
86,Tobias: Da øsregnet det. Det regnet hele formiddagen.,Tobias: Then it rained.It rained all morning.
87,Men pappa badet. Han er litt sprø. ,But Dad bathed.He's a little crazy.
88,Det var iskaldt i vannet.,It was freezing in the water.
89,Åse: Hva gjorde du?,Åse: What did you do?
90,Tobias: Jeg satt i sofaen og hørte på musikk.,Tobias: I sat on the couch listening to music.
91,Åse: Hele dagen?,Åse: The whole day?
92,"Nei, om ettermiddagen sluttet det å regne, ","No, in the afternoon it stopped raining,"
93,og pappa og jeg dro ut for å fiske.,And dad and I went out to fish.
94,Åse: Fikk dere fisk?,Åse: Did you get fish?
95,"Tobias: Ja, vi fikk to stykker. ","Tobias: Yes, we got two pieces."
96,Pappa stekte dem til middag.,Dad fried them for dinner.
97,Åse: Og Kjell? Laget han middag?,Åse: And Kjell?Did he make dinner?
98,"Tobias: Nei, han satt foran pc-en.","Tobias: No, he sat in front of the PC."
99,"Åse: Er han ingeniør, som pappa?","Åse: Is he an engineer, like Dad?"
100,Tobias: Jeg vet ikke. Han sier ikke så mye.,Tobias: I don't know.He doesn't say much.
101,Tobias forteller,Tobias tells
102,I helga var jeg på hyttetur sammen med faren min.,This weekend I was on a cabin trip with my dad.
103,"På fredag var det solskinn og fint vær, ","On Friday it was sunshine and fine weather,"
104,og vi badet flere ganger. ,And we bathed several times.
105,På lørdag regnet det hele formiddagen. ,On Saturday it rained all morning.
106,Jeg satt i sofaen og hørte på musikk. ,I sat on the couch listening to music.
107,"Det var veldig kaldt, men faren min badet.","It was very cold, but my dad bathed."
108,Om ettermiddagen sluttet det å regne.,In the afternoon it stopped raining.
109,Da dro pappa og jeg på fisketur. ,Then Dad and I went fishing.
110,"Vi fikk fisk, og pappa stekte dem til middag.",We got fish and Dad fried them for dinner.
111,"Kjell, kjæresten til pappa, var også med på hytta. ","Kjell, Dad's girlfriend, was also in the cabin."
112,Han satt inne og jobbet foran pc-en.,He sat inside and worked in front of the PC.
113,HOMOFILE PAR,Gay couples
114,Kjell bor sammen med faren til Tobias. ,Kjell lives with the father of Tobias.
115,I mange land er det forbudt å være samboer med en person av samme kjønn.,In many countries it is forbidden to be a cohabitant with a person of the same sex.
116,"Slik var det også i Norge før, men i dag kan homofile par bo sammen. ","This was also the case in Norway before, but today gay couples can live together."
117,De kan også gifte seg og adoptere barn.,They can also get married and adopt children.
118,KJELL JOBBER I ET REKLAMEBYRÅ,Kjell works in an advertising agency
119,Noen uker senere er Tobias på besøk hos faren sin.,"A few weeks later, Tobias is visiting his father."
120,"Der treffer han Kjell igjen, og de snakker litt sammen.","There he meets Kjell again, and they talk a little together."
121,"Tobias: Du Kjell, hva jobber du egentlig med?","Tobias: You Kjell, what do you really work on?"
122,Kjell: Jeg er mediegrafiker.,Kjell: I am a media graphic artist.
123,Tobias: Hva er det?,Tobias: What is it?
124,Kjell: Jeg jobber i et reklamebyrå.,Kjell: I work in an advertising agency.
125,Tobias: Oj. Det høres litt kult ut. ,Tobias: Oh.It sounds a bit cool.
126,Hva gjør du der?,What are you doing there?
127,Kjell: Jeg jobber med annonser og designer nettsider.,Kjell: I work with ads and designs websites.
128,Tobias: Er det mye stress?,Tobias: Is there a lot of stress?
129,"Kjell: Nei, det synes jeg ikke.","Kjell: No, I don't think."
130,Tobias: Men på hytta satt du foran pc-en hele dagen.,Tobias: But at the cabin you sat in front of the PC all day.
131,"Kjell: Ja, noen ganger må jeg jobbe litt ekstra.","Kjell: Yes, sometimes I have to work a little extra."
132,"Du og pappaen din var ute og fisket, og jeg jobbet.",You and your dad were out fishing and I worked.
133,"Tobias: Men er ikke det litt kjedelig, da?","Tobias: But isn't it a little boring, then?"
134,Kjell: Skal jeg fortelle deg en hemmelighet?,Kjell: Should I tell you a secret?
135,Tobias: Ja?,Tobias: Yes?
136,Kjell: Jeg synes det er litt kjedelig å fiske.,Kjell: I think it's a bit boring to fish.
137,Tobias: Hva? Er det mulig?,Tobias: What?Is it possible?
