,NO,EN
67,PÅ LEGEVAKTEN,At the emergency room
68,"På venteværelset er det mange pasienter, og helsepersonalet har det travelt. ","In the waiting room, there are many patients, and the health care provider is in a hurry."
69,Teresa har smerter og føler seg litt kvalm. ,Teresa is in pain and feels a little nauseous.
70,"Nikos er urolig, men han prøver å trøste henne.","Nikos is uneasy, but he tries to comfort her."
71,"Nå er det snart din tur, Teresa.","Now it's your turn, Teresa."
72,Det er bra. Jeg har ikke tid til dette nå.,It is good.I don't have time for this now.
73,Hva mener du? ,What do you mean?
74,Du får selvfølgelig en sykmelding. ,"Of course, you get a sick leave."
75,"Ja, men jeg skal snart flytte.","Yes, but I'll move soon."
76,Jeg har kjøpt en leilighet og skal flytte inn om en måned. ,I bought an apartment and will move in in a month.
77,Ikke tenkt på det. ,Don't think about it.
78,Jeg skal hjelpe deg.,I will help you.
79,"Teresa Manalo? Ja, det er meg.",Teresa Manalo?Yes it is me.
80,"Hei. Bli med meg, så skal vi undersøke deg. ",Hello.Join me and we'll examine you.
81,"Greier du å gå? Ja, beina er ok.","Do you manage to go?Yes, the legs are ok."
82,Nikos blir med Teresa til legevakten. ,Nikos joins Teresa to the emergency room.
83,"Hun er blek, og Nikos skjønner at hun har smerter. ","She is pale, and Nikos realizes that she is in pain."
84,Han prøver å trøste henne. Teresa er bekymret og lei seg. ,He tries to comfort her.Teresa is worried and upset.
85,"Hun kan ikke bli sykmeldt akkurat nå, sier hun. ","She can't get sick right now, she says."
86,Om en måned skal hun flytte inn i ny leilighet. ,In a month she will move into a new apartment.
87,Nikos lover å hjelpe henne. ,Nikos promises to help her.
88,En lege kommer ut på venteværelset og roper opp navnet hennes.,A doctor comes out in the waiting room and calls her name.
89,Hei. Jeg er syk og må dessverre være hjemme idag.,Hello.I am sick and unfortunately have to be home today.
90,"Takk for beskjeden, og god bedring. ","Thanks for the message, and good improvement."
91,TERESA ER SYKMELDT,Teresa is on sick leave
92,For tre uker siden falt Teresa ned fra en høy stol. ,Three weeks ago Teresa fell from a tall chair.
93,"Hun skadet seg, og legen fortalte at det var brudd i skulderen og i armen. ","She injured herself, and the doctor said there was a break in the shoulder and arm."
94,"Heldigvis trengte hun ikke å operere, men hun har fremdeles veldig vondt og tar smertestillende medisin hver kveld.","Fortunately, she did not need to operate, but she still has a lot of pain and takes pain medication every night."
95,Teresa er i dårlig humør. Det er kjedelig å være sykmeldt. ,Teresa is in a bad mood.It is boring to be on sick leave.
96,"Dessuten er det vanskelig å sove, og noen ganger må hun ta sovemedisin. ","Also, it is difficult to sleep, and sometimes she has to take sleeping medicine."
97,Men hun har vært hos fysioterapeut og fått mange gode råd. ,But she has been with a physiotherapist and received many good advice.
98,Fysioterapeuten har sagt hva hun bør gjøre og hvordan hun skal bevege armen sin. ,The physiotherapist has said what she should do and how to move her arm.
99,"Teresa vil gjerne holde seg i form, og hun går lange turer hver dag.","Teresa wants to stay fit, and she goes long walks every day."
100,Vanligvis trener Teresa på treningssenter to ganger i uka. ,"Usually, Teresa trains at a fitness center twice a week."
101,Hun driver mye med styrketrening og løfter vekter. ,She does a lot of strength training and lifts weights.
102,Men det er ikke aktuelt nå. Nå kan hun ikke løfte en stol engang. ,But it is not relevant now.Now she can't even lift a chair.
103,"Om ei uke skal hun flytte inn i leiligheten sin, og hun er glad for at Nikos vil hjelpe henne. ","In a week she will move into her apartment, and she is glad Nikos will help her."
104,Han er virkelig en flott kollega.,He is really a great colleague.
105,Kjære kolleger,Dear colleagues
106,Mange takk for de flotte blomstene!,Many thanks for the great flowers!
107,"Jeg har fremdeles vondt i skulderen, men får god behandling hos lege og fysioterapeut. ","I still hurt my shoulder, but get good treatment from a doctor and physiotherapist."
108,Håper å være tilbake på jobb snart.,Hope to be back to work soon.
109,Savner dere!,Miss you!
110,Hilsen Teresa,Greetings Teresa
111,HVORDAN HOLDER DU DEG I FORM?,How do you keep fit?
112,Får du mosjon?,Do you get exercise?
113,Sitter du mye på jobben?,Do you sit a lot at work?
114,Ta trappene i stedet for å bruke heisen.,Take the stairs instead of using the elevator.
115,Gå en tur (minst en halv time) hver dag. ,Go for a walk (at least half an hour) every day.
116,Sitter du mye foran tv-en?,Do you sit a lot in front of the TV?
117,Mer enn to timer daglig er usunt,More than two hours daily is unhealthy
118,Spiser og drikker du sunt?,Do you eat and drink healthy?
119,Spis fisk og grønnsaker.,Eat fish and vegetables.
120,Drikk mye vann.,Drink a lot of water.
121,"Kutt ut salt mat, brus og kaker.","Cut out salty foods, soft drinks and cakes."
122,Får du nok søvn?,Do you get enough sleep?
123,Føler du deg tung og trist?,Do you feel heavy and sad?
124,Kanskje du sover for lite?,Maybe you sleep too little?
125,Du bør sove mellom 7 og 8 timer i døgnet.,You should sleep between 7 and 8 hours a day.
126,Behagelig trening!,Comfortable training!
127,Britiske forskere har funnet ut at det er sunt å sitte i ro og se på fugler. ,British scientists have found that it is healthy to sit still and watch birds.
128,"Å se på fugler reduserer stress og gir bedre helse, både fysisk og mentalt.","Looking at birds reduces stress and provides better health, both physically and mentally."
129,Det er ikke viktig hva slags fugler man ser på. ,It is not important what kind of birds you look at.
130,Det kan gjerne være småfuglene utenfor vinduet.,It may be the small birds outside the window.
131,HVA GJØR DU HVIS DU BLIR SYK?,What do you do if you get sick?
132,"Hvis du bor fast i en kommune, har du rett til en fastlege. ","If you live in a municipality, you are entitled to a GP."
133,Dugår til fastlegen når dublir syk. ,Discards to the GP when shutdown sick.
134,Du finner mer informasjon om fastlegen på helsenorge.no. ,You can find more information about the GP at helsenorge.no.
135,Du betaler en egenandel hos fastlegen.,You pay a deductible at the GP.
136,"Hvis du får en skade som ikke kan vente til neste dag, drar du til legevakten. ","If you get an injury that can't wait until the next day, go to the emergency room."
137,Legevakten har åpent hele døgnet.,The emergency room is open 24 hours a day.
138,"Hvis du blir akutt syk og må på sykehus fort, bør du eller andre ringe 113. ","If you become acutely ill and have to go to hospital quickly, you or others should call 113."
139,Da vil en ambulanse hente deg. ,Then an ambulance will pick you up.
140,Det er gratis å ligge på sykehus.,It is free to lie in hospital.
141,"Hvis du blir syk, må du straks melde fra til arbeidsgiveren din. ","If you get sick, you must immediately notify your employer."
142,Du må også skrive en egenmelding. ,You also need to write a self -message.
143,"Hvis du er syk mer enn tre dager, må du få en sykmelding fra en lege.","If you are sick for more than three days, you must receive a sick leave from a doctor."
144,VI ER HELSEARBEIDERE,We are health workers
145,Jeg heter Amalie og er fysioterapeut. ,My name is Amalie and I am a physiotherapist.
146,Jeg hjelper pasienter med vonde muskler eller skader. ,I help patients with sore muscles or injuries.
147,Jeg undersøker pasientene og finner ut hvor de har vondt. ,I examine the patients and find out where they hurt.
148,"Jeg viser dem riktige øvelser, og jeg gir gode råd. ",I show them the right exercises and I give good advice.
149,Jeg liker jobben min. ,I like my job.
150,Jeg ser at jeg kan gi pasientene mine en bedre hverdag. ,I see that I can give my patients a better everyday life.
151,Men jeg må være streng. ,But I have to be strict.
152,Pasientene må trene mye hver dag. ,Patients need to exercise a lot every day.
153,Uten trening blir de ikke bra.,Without training they will not be good.
154,Jeg heter Truls og er ambulansearbeider. ,My name is Truls and am ambulance worker.
155,En ambulanse- arbeider gir førstehjelp og ,An ambulance worker provides first aid and
156,kjører pasienten til sykehus hvis det er nødvendig. ,Driving the patient to hospital if needed.
157,Jobben er spennende. ,The job is exciting.
158,"Ingen dager er like, og jeg lærer noe nytt hele tida. ","No days are the same, and I learn something new all the time."
159,"Men noen ganger kommer vi ikke fram til pasienten før det er for sent, og det er tungt.","But sometimes we do not reach the patient until it is too late, and it is heavy."
160,Jeg heter Signe og er lege. ,My name is Signe and I am a doctor.
161,Nå jobber jeg på legevakten. ,Now I work at the emergency room.
162,Hit kommer det pasienter med ulike skader. ,There are patients with various injuries here.
163,"Noen har brukket beinet, ","Someone has broken the bone,"
164,"andre har vondt i magen, og noen blør fra et stort sår. ","Others have a stomach ache, and some bleed from a large wound."
165,"Jeg trives godt. Jeg liker at det skjer mye forskjellig, og kollegene mine er hyggelige. ","I like it here.I like that a lot of different things happen, and my colleagues are nice."
166,Men noen dager er det veldig mye å gjøre. ,But some days there is a lot to do.
167,"Selv om vi jobber fort, er det lange køer på venteværelset. ","Although we work quickly, there are long queues in the waiting room."
168,Da blir jeg litt stresset.,Then I get a little stressed.
169,Jeg heter Evelyn og er psykolog. ,My name is Evelyn and am a psychologist.
170,Noen mennesker sliter med vanskelige følelser. ,Some people struggle with difficult feelings.
171,Slike følelser kan de få etter vonde eller vanskelige opplevelser i livet. ,They can get such emotions after hurt or difficult experiences in life.
172,De trenger noen de kan snakke med og stole på. Jeg har taushetsplikt.,They need someone they can talk to and trust.I have a duty of confidentiality.
173,Et lite øyeblikk.,A moment.
174,"Beklager, det er helt fullt.","Sorry, it's completely full."
