,NO,EN
101,Andre ganger henter Øyvind ham.,"Other times, Øyvind fetches him."
102,"Matias liker seg i barnehagen, ","Matias likes in kindergarten,"
103,men om ettermiddagen kan han være trøtt og sur.,But in the afternoon he can be tired and angry.
104,"Noen ganger gråter han. Han vil ikke dra hjem, ","Sometimes he cries.He won't go home,"
105,og han vil ikke være i barnehagen.,And he doesn't want to be in kindergarten.
106,UKEPLAN i Solvåg barnehage,Weekly schedule in Solvåg kindergarten
107,07.30: Barnehagen åpner.,07.30: Kindergarten opens.
108,Vi spiser frokost,We eat breakfast
109,Lek og aktiviteter inne.,Play and activities inside.
110,09.30: Samlingsstund.,09.30: Collection time.
111,Vi synger.,We are singing.
112,Temaarbeid:,Theme work:
113,Dyr i skogen.,Animals in the forest.
114,11.30 Vi spiser lunsj.,11.30 We eat lunch.
115,"12.45: Lesestund,","12.45: Reading time,"
116,13.30: Vi går tur.,13.30: We walk.
117,Vi spiser matpakke.,We eat packed lunches.
118,15.00: Lek ute og inne. Vi rydder.,15.00: Play inside and out.We clear.
119,17.00: Barnehagen stenger for dagen.,17.00: Kindergarten closes for the day.
120,Sara spiller håndball.,Sara plays handball.
121,"Hver tirsdag er hun på trening,","Every Tuesday she is on training,"
122,og Jolanta eller Øyvind kjører henne dit.,And Jolanta or Øyvind drives her there.
123,"Men alle har det travelt om ettermiddagen,","But everyone is in a hurry in the afternoon,"
124,og noen ganger er det kaos hjemme.,And sometimes there is chaos at home.
125,Hvor er skoene til Sara?,Where are Sara's shoes?
126,Hvor er bilnøklene?,Where are the car keys?
127,"I helga er det ofte håndballkamper,","This weekend there are often handball matches,"
128,og foreldrene liker å se på kampene.,And the parents like to watch the matches.
129,"Der møter de mange andre foreldre, og det er hyggelig.","There they meet many other parents, and it's nice."
130,Da er Matias med.,Then Matias is with.
131,Om kvelden ser foreldrene på tv og leker litt med Matias.,"In the evening, the parents watch TV and play a bit with Matias."
132,Etterpå leser Jolanta eller Øyvind et eventyr for ham.,"Afterwards, Jolanta or Øyvind reads an adventure for him."
133,Klokka åtte legger Matias seg.,"At eight o'clock, Matias lays down."
134,Sara hører litt på musikk.,Sara listens to music.
135,Hun legger seg mellom halv ni og halv ti om kvelden.,She settles between half past nine and half past ten in the evening.
136,5.6) ØYVIND ER KOKK,5.6) Øyvind is chef
137,Jeg er kokk på Solvåg hotell. ,I am a chef at Solvåg Hotel.
138,Der bestemmer jeg menyen og lager mat. ,There I decide the menu and cook.
139,"Jeg lager frokost, lunsj og middag.","I make breakfast, lunch and dinner."
140,På kjøkkenet steker jeg kjøtt og fisk og skjærer opp grønnsaker. ,In the kitchen I fry meat and fish and cut up vegetables.
141,Jeg lager også suppe og dessert.,I also make soup and dessert.
142,"Jeg er glad i å lage mat, og jeg liker å jobbe sammen med andre på kjøkkenet.","I love cooking, and I like to work with others in the kitchen."
143,"Det er ofte mye å gjøre, og da må alle være effektive. ","There is often a lot to do, and then everyone must be effective."
144,Jeg har gode kolleger.,I have good colleagues.
145,Jeg jobber turnus. ,I work the rotation.
146,"Noen dager begynner jeg tidlig, og andre dager begynner jeg sent. ","Some days I start early, and other days I start late."
147,Jeg liker jobben på hotellet.,I like the job at the hotel.
148,Det er morsomt å lage nye retter og servere noe nytt. ,It is fun to make new dishes and serve something new.
149,Noen ganger får jeg ros av gjestene. ,Sometimes I get praise from the guests.
150,"Maten er veldig god, sier de.","The food is very good, they say."
151,Da blir jeg i godt humør!,Then I stay in a good mood!
152,Øyvind er kokk. Hva gjør han?,Øyvind is a chef.What is he doing?
153,"Han liker jobben, sier han.","He likes the job, he says."
154,Hvorfor det?,Why?
155,Han jobber turnus.,He works the rotation.
156,Hva betyr det?,What does that mean?
157,UTTRYKK,EXPRESSION
158,Jeg er så trøtt/ Jeg vil sove.,I am so tired/ I want to sleep.
159,Jeg er sulten/Jeg vil ha mat.,I'm hungry/I want food.
160,Jeg er tørst/ Jeg vil ha melk.,I am thirsty/ I want milk.
161,De har dårlig tid/ De har det travelt.,They are bad time/ they are in a hurry.
162,"Vil du ha mer mat? Nei takk, jeg er mett.","Do you want more food?No thanks, I'm saturated."
163,Jeg har lyst på kaffe/ Den er snart ferdig.,I fancy coffee/ it's done soon.
164,å ha tid til: Hun har tid til å rydde.,Having time for: She has time to clear.
165,å kle på: Hun kler på ham.,To dress: She dresses him.
166,å være glad i: Han er glad i å lage mat.,To be fond of: He loves cooking.
