,NO,EN
98,"Barna leker, og de voksne griller pølser, spiser og prater sammen. ","The children play, and the adults grill sausages, eat and talk together."
99,"Hva skjer? Han går bort til Gunnar, en av naboene.","What's up?He goes to Gunnar, one of the neighbors."
100,Hva skjer her?,What's happening here?
101,"Det er sankthans, og derfor har vi grillfest.","There is a sanctuary, which is why we have a barbecue party."
102,Vil du ha litt mat? Gjerne. Jeg er faktisk litt sulten.,Do you want some food?Happily.I'm actually a little hungry.
103,Er dette en tradisjon i Norge?,Is this a tradition in Norway?
104,"Ja, sankthanskvelden er en av de lyseste kveldene i året. ","Yes, the night of the sanctuary is one of the brightest evenings of the year."
105,Det må vi feire.Og da sitter dere ute og griller og koser dere?,We have to celebrate that. And then you sit outside and grill and enjoy yourself?
106,"Ja. Noen steder tenner folk bål også, ","Yes.In some places people light bonfires too,"
107,men det kan vi ikke gjøre her i bakgården.,But we can't do that here in the backyard.
108,Dette er hyggelig. Om vinteren ser jeg nesten ingen av naboene.,"This is nice.In winter, I see almost none of the neighbors."
109,"Nei, det er stor forskjell på vinter og sommer her i landet. ","No, there is a big difference in winter and summer in this country."
110,Sommeren er så kort. ,Summer is so short.
111,Derfor må vi nyte de lyse og varme dagene.,"Therefore, we must enjoy the bright and warm days."
112,Det er jeg enig i.,I agree with that.
113,"Unnskyld, vi mente det ikke. Vi sparket fotballen feil vei.","Excuse me, we didn't mean it.We kicked football the wrong way."
114,"Vær litt forsiktig, da. ","Be a little careful, then."
115,Dere må spille fotball der borte.,You have to play football over there.
116,Det var et uhell.,It was an accident.
117,"Ja, ja. Men det er lov å bruke hodet.","Yes, yes.But it is allowed to use your head."
118,"Huff, så sur jeg ble. Tror du at han ble lei seg? ","Huff, so sour I stayed.Do you think he was upset?"
119,Nei da. Det går fort over.,No then.It goes over quickly.
120,Retning og plassering ,Direction and location
121,Ta til høyre i Kirkegata. Ta til venstre.,Turn right in Kirkegata.Turn left.
122,Kjør rett fram.,Drive straight ahead.
123,Hvor ligger leiligheten?,Where is the apartment located?
124,Den ligger på venstre side. Sofaen står foran vinduet.,It is on the left.The sofa is in front of the window.
125,Den står mellom døra og skapet.,It stands between the door and the closet.
