,NO,EN
105,Han hadde rett. Alt ordnet seg. ,He was right.Everything worked out.
106,"Vi fikk fem barn, tre gutter og to jenter. ","We had five children, three boys and two girls."
107,"Det var mye å gjøre, men jeg var ung, sterk og forelsket.","There was a lot to do, but I was young, strong and in love."
108,"Da ungene begynte på skolen, hadde jeg lyst på en jobb. ","When the kids started school, I wanted a job."
109,"Jeg har alltid vært glad i å klippe og stelle hår, så jeg åpnet en frisørsalong i første etasje i huset vårt. ","I have always loved cutting and caring for hair, so I opened a hair salon on the ground floor of our house."
110,"Maries frisør, het den. ","Marie's hairdresser, it was called."
111,"Jeg likte kontakten med kundene, det var veldig hyggelig. ","I liked contact with the customers, it was very nice."
112,"Det var mye arbeid, ikke minst papirarbeid, men Peder hjalp meg så godt han kunne.","There was a lot of work, not least paperwork, but Peder helped me as best he could."
113,Jeg savner Peder. Han døde for ti år siden. ,I miss Peder.He died ten years ago.
114,Jeg tenker på ham hver dag. ,I think of him every day.
115,På Solvåg hotell var det bursdagssang og mange taler. ,At Solvåg Hotel there were birthday songs and many speeches.
116,"Sara, et av oldebarna mine, holdt en fin tale.","Sara, one of my great -grandchildren, gave a nice speech."
117,"«Du har alltid tid, oldemor», sa hun. ","""You always have time, grandmother,"" she said."
118,«Du har tid til å prate med oss og høre på oss. ,"""You have time to talk to us and listen to us."
119,Vi er glad i deg. Gratulerer med dagen.» ,"We love you.Happy Birthday."""
120,"Hun sa også noe annet: «Jeg tror du har hatt et fint liv, oldemor.» ","She also said something else: ""I think you had a good life, grandmother."""
121,Hun har rett. ,She is right.
122,"Jeg har levd et langt og godt liv, og jeg har mange fine minner.","I have lived a long and good life, and I have many nice memories."
123,"«Krigen var slutt, men mange hus var ødelagt», sier Marie. ","""The war was over, but many houses were destroyed,"" says Marie."
124,Norge var okkupert av Tyskland fra 1940 til 1945. ,Norway was occupied by Germany from 1940 to 1945.
125,Etter krigen var det mangel på varer og boliger.,After the war there was a lack of goods and housing.
126,"Mange hus var ødelagt, men samtidig ønsket mange unge å gifte seg og få barn. ","Many houses were destroyed, but at the same time many young people wanted to get married and have children."
127,Det var ikke lett for alle å finne et sted å bo.,It wasn't easy for everyone to find a place to live.
128,"INVITASJON, TAKKEKORT OG BURSDAGSSANG","Invitation, thank you cards and birthday songs"
129,Hei! Er du ledig neste lørdag?,Hello!Are you free next Saturday?
130,Nå lager vi en vinterfest.,Now we make a winter party.
131,"Det er kaldt ute, en varmt inne. Håper du kan komme. ","It's cold outside, a hot inside.Hope you can come."
132,Kjære Øyvind og Jolanta,Dear Øyvind and Jolanta
133,Tusen tokk for den vokre vasen og rosene som jeg fikk til min 40-årsdag.,A thousand tock for the growing vase and roses that I got for my 40th birthday.
134,Den står på bordet og pynter opp i stua.,It stands on the table and decorates the living room.
135,"Hjertelig hilsen, bestemor Morie","Sincer greeting, Grandma Morie"
136,Hurra for deg!,Hooray for you!
137,Hurra for deg som fyller ditt år. ,Cheers for you who are filling your year.
138,"Ja, deg vil vi gratulere!","Yes, we would like to congratulate you!"
139,"Alle i ring omkring deg vi står, ","Everyone in the ring around you we stand,"
140,"og se, nå vil vi marsjere. ","And look, now we want to march."
141,"Bukke, nikke, neie, ","BUKKE, NIKK, NOW,"
142,"snu oss omkring, ","turn around around,"
143,danse for deg,dance for you
144,med hopp og sprett og spring.,With jump and bounce and jump.
145,Ønsker deg av hjertet ,Wishing you off the heart
146,alle gode ting!,All good things!
147,"Og si meg så, hva vil du mere?","And tell me, what do you want more?"
148,GRATULERE! ,CONGRATULATE!
149,MARIE VAR FRISØR ,Marie was a hairdresser
150,"Marie og oldebarnet hennes,Sara,snakker sammen etter bursdagsfesten.","Marie and her great -grandson, Sara, talk together after the birthday party."
151,"Pappa sier at du har vært frisør, oldemor. ","Dad says you've been a hairdresser, grandmother."
152,Kan du ikke fortelle litt om det?,Can't you tell you a little about it?
153,Det kan jeg godt. ,I can.
154,Jeg åpnet en liten salongi første etasje i huset vårt. ,I opened a small salongi ground floor in our house.
155,Var det mye arbeid?,Was there a lot of work?
156,"Ja, det var mye arbeid, og jeg tjente lite penger de første årene. ","Yes, there was a lot of work, and I made little money in the first few years."
157,"Jeg var en slags gründer, forstår du. Gründer? Hva er det?","I was a kind of entrepreneur, you understand.Founder?What is it?"
158,Det betyr at jeg startet min egen bedrift. ,That means I started my own business.
159,Jeg måtte fylle ut mange skjemaer og søknader. ,I had to fill out many forms and applications.
160,Og jeg måtte kjøpe utstyr til salongen.,And I had to buy equipment for the salon.
161,"Men, hvor lærte du å bli frisør? ","But, where did you learn to become a hairdresser?"
162,"Gikk du på skole? Nei, det gjorde jeg ikke. ",Did you go to school?No I did not do that.
163,Men jeg har alltid vært glad i å vaske og klippe hår. ,But I have always been fond of washing and cutting hair.
164,Og kundene mine var fornøyde.,And my customers were happy.
165,Kjente du alle sammen?,Did you know everyone?
166,"Ja, det gjorde jeg, og jeg visste hva slags frisyre de ville ha. ","Yes, I did, and I knew what kind of hairstyle they wanted."
167,Men i dag er mye forandret.,But today a lot has changed.
168,Hvordan da?,How?
169,Nå går man på skole og lærer mye teori.,Now you go to school and learn a lot of theory.
170,Jeg tror det er spennende å være frisør nå. ,I think it's exciting to be a hairdresser now.
171,Motene forandrer seg hele tida. ,The fashions change all the time.
172,Men noe forandrer seg ikke. Hva da?,But something doesn't change.What?
173,Du må være nøyaktig og gjøre en god jobb. ,You have to be accurate and do a good job.
174,Og så må du kommunisere godt med kundene dine.,And then you have to communicate well with your customers.
175,"Ja, og det kan du. Du er kjempeflink til å snakke med folk.","Yes, and you can.You are great at talking to people."
176,De pynter seg.Hva ønsker du deg til jul?,They decorate. What do you want for Christmas?
177,Hun holder en tale.,She gives a speech.
178,Gratulerer med dagen!,Happy Birthday!
179,Hun fyller ut mange skjemaer.,She fills out many forms.
180,Det ordner seg.,It will be alright.
181,Ta det med ro!,Take it easy!
182,God jul og godt nyttår.,Merry Christmas and Happy New Year.
183,Han går fram og tilbake.,He goes back and forth.
184,Er du i mål? Er du ferdig?,Are you in goal?Are you done?
185,Han har dårlig smak. Hun har god smak.,He has bad taste.She has good taste.
186,Han kjenner den deilige smaken.,He knows the delicious taste.
187,Du kan kjøpe noe til huset.,You can buy something for the house.
