,NO,EN
37,Latisha og Karim kommer til resepsjonen. Der står Nikos og snakker med Teresa.,"Latisha and Karim come to the reception.There, Nikos stands and talks to Teresa."
38,"Hei, dere må hilse på Karim. Han er den nye språkpraktikanten vår.","Hi, you have to greet Karim.He is our new language practitioner."
39,"Karim, dette er Teresa og Nikos. Teresa jobber i resepsjonen, og Nikos er servitør.","Karim, this is Teresa and Nikos.Teresa works at the reception, and Nikos is a waiter."
40,"Hei. Hyggelig å treffe dere. Hei, Karim. Og velkommen hit. Hva gjør en språkpraktikant?","Hello.Nice to meet you.Hi, Karim.And welcome here.What does a language practice do?"
41,Jeg skal jobbe her og lære mer norsk. Karim skal jobbe her hos oss to dager i uka.,I will work here and learn more Norwegian.Karim will work here with us two days a week.
42,Han skal jobbe i forskjellige deler av hotellet.,He will work in different parts of the hotel.
43,"I neste uke vil jeg gjerne at han skal jobbe med deg i resepsjonen,Teresa. ","Next week I would like him to work with you at the reception, Teresa."
44,Går det bra? Klart det. Fint. Vi snakker om det senere i dag. ,Is it going well?Of course.Fine.We're talking about it later today.
45,"Karim, nå går vi inn på kjøkkenet og hilser på alle der.","Karim, now we go into the kitchen and greet everyone there."
46,"Ha det så lenge, Karim. Hyggelig å møte deg.","Have it so long, Karim.Nice to meet you."
47,I like måte. Vi ses i neste uke. Jeg gleder meg til å begynne å jobbe her.,Likewise.See you next week.I'm looking forward to starting working here.
48,"Å, det er et fryktelig sted å jobbe.","Oh, it's a terrible place to work."
49,"Unnskyld, hva mener du? Teresa, du skremmer Karim. ","Excuse me, what do you mean?Teresa, you scare Karim."
50,"Kom, Karim. Vi går på kjøkkenet og finner noen hyggelige mennesker der.","Come, Karim.We go to the kitchen and find some nice people there."
51,SPRÅKPRAKSIS,Language practice
52,Språkpraksis er et tilbud til deltakere i introduksjonsprogrammet.,Language practice is an offer to participants in the introductory program.
53,I språkpraksis kan deltakere få trening i å snakke norsk på jobb.,"In language practice, participants can get training in speaking Norwegian at work."
54,"Samtidig lærer de forskjellige arbeidsoppgaver, og de blir kjent med regler og rutiner i norsk arbeidsliv.","At the same time, they learn different tasks, and they become acquainted with rules and routines in Norwegian working life."
55,Deltakerne møter også nye mennesker og får arbeidskolleger. ,Participants also meet new people and get work colleagues.
56,De får nye personer i nettverket sitt. ,They get new people in their network.
57,"Et nettverk er mennesker du kjenner: familie, venner, kolleger på jobben. ","A network is people you know: Family, friends, colleagues at work."
58,Et godt nettverk kan hjelpe deg å få jobb.,A good network can help you get a job.
59,"Språkpraktikanten får ikke lønn, men språkpraksis gir erfaring fra arbeidslivet. ","The language practitioner does not receive wages, but language practice provides experience from working life."
60,Etter praksisperioden får deltakerne en attest fra arbeidsgiveren. ,"After the practice period, participants receive a certificate from the employer."
61,En god attest er viktig for å få jobb senere.,A good certificate is important for getting a job later.
62,En attest er et dokument der arbeidsgiveren skriver ,A certificate is a document in which the employer writes
63,"hvor lenge du har jobbet et sted, og hva du har gjort. ",How long you have worked somewhere and what you have done.
64,"Han eller hun kan også skrive at du gjør jobben godt, at du er flink til å arbeide selvstendig, eller gi andre opplysninger.","He or she can also write that you are doing the job well, that you are good at working independently, or providing other information."
65,KARIM FORTELLER OM JOBBEN,Karim tells about the job
66,Etter noen uker besøker Håkon Karim på jobben. ,"After a few weeks, Håkon Karim visits the job."
67,"De går rundt på hotellet, og Karim forteller.","They walk around the hotel, and Karim tells."
68,"Han har lært mange nye ord og uttrykk, og han prøver å bruke de nye ordene.","He has learned many new words and expressions, and he tries to use the new words."
69,Bra Karim. Jeg synes du har lært mye.,Good Karim.I think you've learned a lot.
70,Takk for det. Men jeg lurer på om de nye kollegene mine blir lei av meg. ,Thanks for that.But I wonder if my new colleagues are getting tired of me.
71,Jeg må ofte sporre dem: Hva betyr det? Hvordan sier man det?,I often have to trace them: What does it mean?How do you say that?
72,Det går sikkert bra. Folk liker å hjelpe. ,It's probably going well.People like to help.
73,"Liker du deg her? Ja, absolutt. ",Do you like it here?Yes absolutely.
74,Men det er litt vanskelig noen ganger. Særlig i pausene. ,But it's a little difficult sometimes.Especially during the breaks.
75,Jeg skjønner ikke mye når de snakker om fotball og politikk. ,I don't understand much when talking about football and politics.
76,"Og noen ganger ler de, men jeg vet ikke hvorfor.","And sometimes they laugh, but I don't know why."
77,Det er klart at det tar lang tid å forstå alt.,It is clear that it takes a long time to understand everything.
78,Hvor skal du jobbe i dag? I kveld skal jeg jobbe i baren.,Where are you going to work today?Tonight I'm going to work at the bar.
79,Latisha spurte om det var ok. Synes du det er greit å servere alkohol?,Latisha asked if it was ok.Do you think it's okay to serve alcohol?
80,"Ja, det går bra. En bartender skal jo ikke drikke på jobb",Yes it is going well.A bartender should not drink at work
81,HVORDAN GÅR DET?,HOW ARE YOU?
82,Mange av deltakerne på norskkurset har fått språkpraksis.,Many of the participants in the Norwegian course have received language practice.
83,I Showbie skriver de om de nye erfaringene sine:,"In Showbie, they write about their new experiences:"
84,"Jeg er så glad! Jeg er sykepleier, ","I am so happy!I'm a nurse,"
85,og nå har jeg fått praksis på et sykehjem. ,And now I have been practiced in a nursing home.
86,Jeg lærer mye av de andre sykepleierne.,I learn a lot from the other nurses.
87,Hjelp! Jeg begynner på jobben klokka sju om morgenen.,Help!I start work at seven in the morning.
88,Det er vanskelig å stå opp så tidlig.,It's hard to get up so early.
89,Jeg vil gjerne sove om morgenen. Jeg er så trøtt.,I would like to sleep in the morning.I'm so tired.
90,Men du MÅ stå opp! Det er VELDIG viktig å komme presis på jobben!,But you have to get up!It is very important to get precisely at work!
91,"Ja da, jeg vet det! Og jeg kommer presis.","Yes, I know!And I get precisely."
92,Men jeg må bare klage litt. Det store problemet mitt er å forstå norsk. ,But I just have to complain a little.My big problem is understanding Norwegian.
93,"Mange snakker dialekt, og de snakker så fort. ","Many people talk dialect, and they talk so quickly."
94,"Jeg nikker og prøver å se klok ut, og de tror kanskje at jeg forstår.","I nod and try to look wise, and they may think I understand."
95,Men ofte gjør jeg ikke det. Og jeg kan ikke spørre hele tida. ,But often I don't.And I can't ask all the time.
96,Da tror de kanskje jeg er dum. Spør likevel. ,"Then they may think I'm stupid.Still, ask."
97,"Jeg spør ofte, og da gjentar de, eller de viser meg. ","I often ask, and then they repeat or they show me."
98,Da forstår jeg mer. Hva med fredagspils?,Then I understand more.What about Friday games?
99,Mange kolleger går ut og drikker øl etter jobben på fredag. ,Many colleagues go out and drink beer after work on Friday.
100,De spør om jeg vil være med. Jeg har lyst til å være med. ,They ask if I want to join.I want to join.
101,Men jeg drikker ikke alkohol. Hva gjør jeg?,But I don't drink alcohol.What am I doing?
102,"Jeg jobber litt som bartender nå, og her har du et ekspertsvar: ","I work a bit as a bartender now, and here you have an expert answer:"
103,Du kan bestille mineralvann eller alkoholfritt øl. ,You can order mineral water or alcohol -free beer.
104,Det er helt ok. Også nordmenn gjør det.,It's ok.Norwegians also do.
105,Fredagspils betyr ikke at du må drikke alkohol.,Friday games do not mean that you have to drink alcohol.
106,"Jeg jobber på et lager, og jeg liker jobben, men jeg vil gjerne ha lønn! ","I work in a warehouse and I like the job, but I would like to have a salary!"
107,"Vi er åtte personer på lageret, og jeg gjør en god jobb. ",We are eight people in the warehouse and I do a good job.
108,Hvorfor får jeg ikke lønn? Jeg er litt skuffet.,Why don't I get a salary?I'm a little disappointed.
109,Jeg ser på praksisen som en gratis utdanning. Vi lærer å forstå og snakke norsk. ,I look at the practice as a free education.We learn to understand and speak Norwegian.
110,Vi får arbeidserfaring og lærer om arbeidslivet i Norge. ,We gain work experience and learn about working life in Norway.
111,"Vi treffer også nye mennesker,og vi får en attest etterpå.","We also meet new people, and we get a certificate afterwards."
112,KARIMS HISTORIE,Karim's story
113,Jeg kom til Norge for nesten tre år siden. ,I came to Norway almost three years ago.
114,"Da jeg kom hit, var det midt på vinteren, og det var mørkt og kaldt. ","When I came here, it was in the middle of the winter and it was dark and cold."
115,"Jeg var ning, og jeg kjente ingen her. ","I was ning, and I didn't know anyone here."
116,I begynnelsen bodde jeg på asylmottak langt ute på landet. ,"In the beginning, I lived at asylum reception far out in the countryside."
117,"Jeg var veldig glad for i et trygt land, men jeg følte meg ensom. ","I was very happy in a safe country, but I felt lonely."
118,Jeg hadde for mye tid til å tenke. ,I had too much time to think.
119,"Jeg lengtet etter familien min, og jeg se kona mi og barna våre. ",I longed for my family and I see my wife and our kids.
120,På asylmottaket lærte jeg litt norsk. ,"At the asylum reception, I learned a little Norwegian."
121,Men det var vanskelig å konsentrere seg om det nye språket når jeg var så bekymret for familien. ,But it was difficult to concentrate on the new language when I was so worried about the family.
122,Jeg ble deprimert av å vente og være redd.,I was depressed by waiting and being scared.
123,Det var vanskelig å sove om natta,It was hard to sleep at night
124,"Men så en dag fikk jeg gode nyheter, og i fjor kom familien min hit. ","But then one day I got good news, and last year my family came here."
125,Jeg dro til Gardermoen og ventet i fem time på flyplassen. ,I went to Gardermoen and waited for five hours at the airport.
126,"Endelig kom de. Da jeg fikk øye på dem, mille tårene. ","Finally, they came.When I saw them, Mille Tears."
127,Vi gråt og lo og klemte hverandre. ,We cried and laughed and squeezed each other.
128,"Det var en stor dag, og jeg var lykkelig. ",It was a big day and I was happy.
129,Den dagen kommer jeg alltid til huske.,That day I will always remember.
130,"Nå har vi fått en liten leilighet, og både Samira og jeg går på norskkurs. ","Now we have got a small apartment, and both Samira and I go on a Norwegian course."
131,Barna trives her. ,The kids thrive here.
132,"Sønnen vår, Omar, går i tredje klasse, og Dima, dattera vår, går i barnehagen. ","Our son, Omar, goes to third grade, and Dima, our daughter, goes to kindergarten."
133,"Omar liker seg på den nye skolen, og han har fått noen nye venner.","Omar likes the new school, and he has made some new friends."
134,Nå har han begynt å spille fotball med dem. ,Now he has started playing football with them.
135,Dima synger norske sanger og har det veldig fint i barnehagen.,Dima sings Norwegian songs and is very nice in kindergarten.
136,For meg har det vært litt vanskelig å bli kjent med folk her. ,For me it has been a little difficult to get to know people here.
137,Men for noen uker siden var det dugnad i blokka vår.,But a few weeks ago there was a good time in our block.
138,Da jobbet alle familiene i blokka sammen for å gjøre det pent. ,Then all the families in the block worked together to make it nice.
139,"Noen stelte plantene, noen malte, og noen kokte kaffe og stekte vafler. ","Some stelt plants, some painted, and some cooked coffee and fried waffles."
140,Jeg hjalp til med å bygge et lekehus til barna,I helped build a playhouse for the kids
141,"Det var hyggelig, og nå kjenner vi noen av de nye naboene",It was nice and now we know some of the new neighbors
142,7) LATISHA ER HOTELLSJEF,7) Latisha is a hotel manager
143,Bianca jobber med reportasjen om hotellet. I dag har hun en avtale med Latisha. ,Bianca is working on the report on the hotel.Today she has an agreement with Latisha.
144,Hun vil snakke med henne om jobben hennes. ,She wants to talk to her about her job.
145,Nå sitter de på Latishas kontor. Hva gjør en hotellsjef?,Now they are sitting in Latisha's office.What is a hotel manager doing?
146,En hotellsjef har ansvar for at alt fungerer på hotellet. ,A hotel manager is responsible for everything working at the hotel.
147,Vi må ha fornøyde gjester og fornøyde ansatte. ,We must have satisfied guests and satisfied employees.
148,"Jeg er leder for de ansatte, både renholdere, servitører, resepsjonister, kokker og andre.","I am the leader of the staff, both cleaners, waiters, receptionists, chefs and others."
149,Hva er en god leder? For meg er det viktig at de ansatte har det bra på jobben. ,"What is a good leader?For me, it is important that the employees are doing well at work."
150,Jeg kjenner alle og viser at jeg stoler på dem.Da gjør de en god jobb.,I know everyone and show that I trust them. Then they do a good job.
151,Hva slags egenskaper legger du vekt på når du ansetter nye medarbeidere?,What kind of characteristics do you emphasize when hiring new employees?
152,Jeg ønsker at de skal være interessert i arbeids- plassen og ta ansvar. ,I want them to be interested in the work space and take responsibility.
153,De må både være selvstendige og flinke til å samarbeide.,They must be both independent and good at working together.
154,Jeg har snakket med en språkpraktikant fra Syria. ,I have talked to a language practitioner from Syria.
155,Han sier at han har lært mye her. ,He says he learned a lot here.
156,Hvorfor tar dere inn språkpraktikanter?,Why do you include language practitioners?
157,Det er viktig for flyktninger og andre innvandrere å finne jobb. Ofte er språket et problem.,It is important for refugees and other immigrants to find jobs.Often the language is a problem.
158,I språkpraksis får de mye trening i å bruke språket. ,"In language practice, they get a lot of training in using the language."
159,Men det er også viktig å bli kjent med arbeidslivet. ,But it is also important to get to know the working life.
160,De må lære om skrevne og uskrevne regler på arbeidsplassen.,They must learn about written and unwritten rules in the workplace.
161,Hva tenker du på da?,What are you thinking about then?
162,"Skrevne regler er de formelle reglene, for eksempel regler for sikkerhet og for arbeidstid. ","Written rules are the formal rules, such as rules for safety and for working hours."
163,"Uskrevne regler er de uformelle reglene, for eksempel at du tar ansvar, og at du har respekt for kollegene dine.","Unwritten rules are the informal rules, such as taking responsibility, and that you have respect for your colleagues."
164,Det er også viktig at du spør når du lurer på noe. Hva er bakgrunnen din?,It is also important that you ask when you are wondering something.What is your background?
165,"Jeg begynte som resepsjonist, og jeg likte meg godt. ","I started as a receptionist, and I liked myself."
166,"Lederen min anbefalte meg å ta utdanning i administrasjon, og det gjorde jeg.","My manager advised me to take education in administration, and I did."
167,"Hvor kommer du fra, Latisha? Fra Tønsberg.","Where are you from, Latisha?From Tønsberg."
168,"Men navnet ditt og ...Vel, jeg får det spørsmålet noen ganger. ","But your name and ... well, I get that question sometimes."
169,Og jeg kommer altså fra Tønsberg. Men faren min er født i Nigeria. ,And I come from Tønsberg.But my dad was born in Nigeria.
170,Han kom hit til landet for over 40 år siden.,He came here to the country over 40 years ago.
171,Takk for praten.Det var interessant å snakke med deg.,Thanks for the talk. It was interesting to talk to you.
